"h01","h02","h04","h08","h16","h32","h64"
0,0,0,0,0,1,1
0,0,0,0,1,0,1
0,0,0,0,0,1,1
0,0,0,0,1,1,1
0,0,0,0,0,1,1
0,0,0,0,0,1,1
0,0,0,0,0,1,1
0,0,0,0,0,1,1
0,0,0,0,0,1,1
0,0,0,0,0,1,1
0,0,0,0,0,1,1
0,0,0,0,0,1,1
0,0,0,0,0,1,1
0,0,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,0,0,1,1
0,0,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,0,0,1,1
0,0,0,0,0,1,1
0,0,0,0,0,1,1
0,0,0,0,0,0,1
0,0,0,0,0,1,1
0,0,0,0,1,1,1
0,0,0,0,1,0.5,1
0,0,0,0,0,1,1
0,0,0,0,1,1,1
0,0,0,0,0,1,1
0,0,0,1,1,1,1
0,0,0,0,0,1,1
0,0,0,0,0,1,1
0,0,0,0,1,1,1
0,0,0,0,0,1,1
0,0,0,0,0,1,1
0,0,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,0,0,1,1
0,0,0,0,1,1,1
0,0,0,1,1,1,1
0,0,0,0,1,1,1
0,0,0,0,0,1,1
0,0,0,0,1,1,1
0,0,0,0,0,1,1
0,0,0,1,0,1,1
0,0,0,0,1,1,1
0,0,0,0,0,1,1
0,0,0,0,1,1,1
0,0,0,0,0,1,1
0,0,0,0,1,1,1
0,0,0,0,0,1,1
0,0,0,0,1,1,1
0,0,0,0,0,1,1
0,0,0,0,0,1,1
0,0,0,0,1,1,1
0,0,0,0,0,1,1
0,0,0,0,0,1,1
0,0,0,0,0,1,1
0,0,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,0,0,1,1
0,0,0,0,0,1,1
0,0,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,0,0,1,1
0,0,0,0,0.5,1,1
0,0,0,0,0,1,1
0,0,0,1,0,1,1
0,0,0,0,1,1,1
0,0,0,0,0,1,1
0,0,0,0,1,1,1
0,0,0,0,1,0,1
0,0,0,1,0,1,1
0,0,0,0,0,1,1
