"h01","h02","h04","h08","h16","h32","h64"
0,0,0,1,1,0.833333333333333,1
0,0,0,0.666666666666667,1,1,0.714285714285714
0,0,0,1,0.75,1,1
0,0,0,1,1,1,1
0,0,0,1,0.8,1,1
0,0,1,0.666666666666667,0.8,1,1
0,0,0,1,1,1,1
0,0,0,1,0.75,1,1
0,0,0,1,0.75,1,1
0,0,0.5,1,1,0.833333333333333,0.833333333333333
0,0,0,0.75,1,1,1
0,0,1,1,1,1,0.833333333333333
0,0,0,1,1,0.8,1
0,0,0,0.5,1,1,1
0,0,0,1,1,1,1
0,0,0,0.666666666666667,1,1,1
0,0,1,1,1,1,1
0,0,0,1,1,0.833333333333333,1
0,0,1,1,0.75,1,1
0,0,0,1,0.75,1,1
0,0,0.5,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,0.833333333333333
0,0,1,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,0.833333333333333,0.833333333333333
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,0.8,1,0.714285714285714
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,1,0.5,1,1,1
0,0,1,1,0.75,1,1
0,0,0.5,0.75,1,1,1
0,0,0,1,0.833333333333333,1,1
0,0,0,0.8,1,1,1
0,0,0.5,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,0.8,1,1
0,0,0,1,1,1,1
0,0,1,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,0.833333333333333,1
0,0,0,1,0.8,1,1
0,0,0,1,1,1,0.833333333333333
0,0,0,1,1,1,0.833333333333333
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,0.8,0.833333333333333,1
0,0,1,1,0.75,0.8,1
0,0,1,1,1,1,0.833333333333333
0,0,1,1,1,1,1
0,0,1,1,0.833333333333333,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,1,1,1,1,1
0,0,0,1,0.666666666666667,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,0.75,1,0.833333333333333,1
0,0,0,1,1,1,0.714285714285714
0,0,0,1,1,1,1
0,0,0,1,0.8,1,1
0,0,0,1,1,1,0.833333333333333
0,0,0,1,1,1,0.833333333333333
0,0,0,1,0.8,0.833333333333333,1
0,0,0,0.75,0.8,1,0.714285714285714
0,0,0,1,0.8,1,0.833333333333333
0,0,0,1,1,0.833333333333333,1
0,0,0,1,1,1,1
0,0,1,0.75,1,1,1
0,0,1,1,1,1,1
0,0,0,1,0.8,1,1
0,0,0,1,0.75,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,0.833333333333333
0,0,0,1,1,1,1
0,0,0,1,1,1,0.833333333333333
0,0,0,1,1,0.833333333333333,1
0,0,0,1,1,0.833333333333333,1
0,0,1,1,1,1,1
0,0,0,1,1,1,0.833333333333333
0,0,0,0.666666666666667,1,1,1
0,0,0,1,1,1,1
0,0,1,0.8,1,0.833333333333333,1
0,0,0,1,1,1,1
0,0,1,1,1,1,1
0,0,0,1,1,0.833333333333333,1
0,0,0,1,1,1,1
0,0,0,1,0.75,0.833333333333333,1
0,0,0,0.666666666666667,1,1,1
0,0,1,1,0.8,1,1
0,0,0,1,1,0.833333333333333,0.833333333333333
0,0,0,1,1,0.833333333333333,1
0,0,0,1,1,1,0.833333333333333
0,0,0.5,0.666666666666667,1,1,0.833333333333333
0,0,1,0.666666666666667,1,0.833333333333333,1
0,0,0,1,1,1,1
0,0,0,1,1,0.8,0.714285714285714
0,0,1,0.75,1,1,1
0,0,0.5,0.5,1,0.833333333333333,1
0,0,0,1,1,1,1
0,0,0,1,1,0.8,1
0,0,1,1,0.75,1,0.833333333333333
0,0,0,1,1,1,0.833333333333333
0,0,0.5,0.666666666666667,1,1,1
0,0,1,0.666666666666667,1,1,1
0,0,0,1,0.8,1,0.833333333333333
0,0,1,0.5,1,1,1
0,0,0,1,0.666666666666667,1,1
0,0,0,0.75,1,1,1
0,0,1,1,0.6,0.833333333333333,0.833333333333333
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0.5,1,0.833333333333333,1,1
0,1,0,1,1,0.8,1
0,0,1,1,0.75,1,1
0,0,0,1,1,1,1
0,0,1,1,1,1,0.833333333333333
0,0,1,1,1,1,1
0,0,1,1,1,1,1
0,0,0,0.75,1,1,1
0,0,0,1,1,1,0.833333333333333
0,0,0,1,1,1,0.714285714285714
0,0,1,1,1,1,1
0,0,1,1,1,1,1
0,0,1,0.75,1,0.8,1
0,0,0,1,1,0.833333333333333,1
0,0,1,1,1,1,1
0,0,0,1,0.8,0.833333333333333,1
0,0,0,1,1,1,1
0,0,1,1,0.8,1,1
0,0,0,0,1,1,1
0,0,1,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,0.8,1
0,0,0,0.5,0.75,0.8,1
0,0,0,1,1,0.833333333333333,1
0,0,0,0.8,1,0.833333333333333,1
0,0,0,1,1,1,1
0,0,1,1,0.833333333333333,1,0.833333333333333
0,0,0,0.5,1,1,0.833333333333333
0,0,1,1,1,0.833333333333333,0.833333333333333
0,0,1,1,0.75,1,1
0,0,0,1,1,0.833333333333333,1
0,0,1,1,1,1,0.833333333333333
0,0,0,0.666666666666667,1,1,1
0,0,0,0.666666666666667,0.8,1,1
0,0,0,1,1,1,1
0,0,0,1,0.8,1,1
0,0,0,1,0.8,1,1
0,0,1,1,0.8,1,1
0,0,1,1,1,1,1
0,0,0,1,0.666666666666667,1,1
0,0,1,1,0.833333333333333,0.833333333333333,1
0,0,0,1,1,1,1
0,0,0,1,1,0.8,0.833333333333333
0,0,0,1,1,0.833333333333333,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,0.5,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,0.833333333333333,1
0,0,0,1,0.75,1,1
0,0,1,0.5,1,1,1
0,0,0,1,1,0.833333333333333,1
0,0,0.333333333333333,0.666666666666667,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,0.75,1,1,1
0,0,0,0.75,1,1,1
0,0,0,1,1,1,1
0,0,0,0.666666666666667,1,1,1
0,0,0,0.666666666666667,1,1,1
0,0,0,1,1,1,1
0,0,0,1,0.8,1,1
0,0,0,0.8,1,1,1
0,0,0.5,1,1,1,1
0,0,0,1,1,1,0.833333333333333
0,0,1,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,0.75,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,0.833333333333333
0,0,0,0.8,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,0.833333333333333,1
0,0,0,1,1,1,1
0,0,1,1,0.833333333333333,0.833333333333333,1
0,0,1,1,1,0.833333333333333,1
0,0,0,1,0.8,0.833333333333333,1
0,0,0,1,0.8,1,1
0,0,0,1,1,1,1
0,0,0,1,1,0.8,1
0,0,0,1,1,1,1
0,0,0,0.666666666666667,1,1,1
0,0,0,1,1,1,1
0,0,0,1,0.8,1,1
0,0,0,1,1,0.8,0.833333333333333
0,0,1,1,1,1,0.833333333333333
0,0,0,0.666666666666667,0.666666666666667,0.714285714285714,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,0.833333333333333,1,1
0,0,0,1,0.8,1,1
0,0,0,1,0.8,1,1
0,0,0,0.75,1,0.833333333333333,1
0,0,0,1,1,1,1
0,0,1,0,1,0.833333333333333,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,0.5,1,1,1
0,0,0,1,0.833333333333333,1,1
0,0,0,1,1,1,0.714285714285714
0,0,1,1,1,1,0.833333333333333
0,0,0,1,1,1,0.833333333333333
0,0,0,1,1,1,0.833333333333333
0,0,1,1,1,1,1
0,0,0,1,1,1,1
0,0,0,0.666666666666667,1,0.833333333333333,1
0,0,0,0.5,1,1,1
0,0,0,1,0.666666666666667,0.8,1
0,0,1,1,0.75,1,1
0,0,0,1,1,1,1
0,0,1,1,1,1,1
0,0,1,1,0.8,1,1
0,0,0,1,0.8,1,0.833333333333333
0,0,0,1,0.8,1,1
0,0,0,1,1,1,1
0,0,1,1,1,1,1
0,0,0,1,1,1,0.833333333333333
0,0,1,1,1,1,1
0,0,1,0.666666666666667,0.8,1,1
0,0,1,1,1,1,1
0,0,1,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,0.833333333333333
0,0,0.5,1,0.75,1,1
0,0,0,0.666666666666667,1,1,1
0,0,0,1,0.75,1,1
0,0,0,1,1,1,1
0,0,0,1,1,0.833333333333333,1
0,0,0,1,1,1,0.833333333333333
0,0,0,1,1,1,1
0,0,0,1,1,1,0.833333333333333
0,0,1,1,0.75,0.8,1
0,0,0,1,1,0.833333333333333,1
0,0,0,1,1,1,0.833333333333333
0,0,0,1,0.833333333333333,1,1
0,0,0,1,1,1,1
0,0,0,1,1,0.833333333333333,0.833333333333333
0,0,0,0.75,1,1,1
0,0,0,1,1,1,1
0,0,0,1,0.75,0.8,1
0,0,0,1,0.8,1,1
0,0,1,1,1,0.833333333333333,0.833333333333333
0,0,0,1,1,1,0.833333333333333
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,1,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,0.833333333333333
0,0,0.5,1,1,1,1
0,0,0,1,1,0.666666666666667,1
0,0,0,1,0.8,1,1
0,0,1,1,0.75,1,1
0,0,1,1,0.75,1,1
0,0,0,1,1,0.833333333333333,1
0,0,0,1,1,1,1
0,0,0,1,0.8,1,1
0,0,0,1,0.75,1,1
0,0,0,1,1,1,0.833333333333333
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,0.75,0.8,0.714285714285714
0,0,0,0.666666666666667,1,1,0.833333333333333
0,0,0,1,1,1,1
0,0,0,1,0.75,0.8,1
0,0,0,1,1,1,0.833333333333333
0,0,0,1,1,1,0.833333333333333
0,0,0,1,1,0.833333333333333,1
0,0,1,0.75,1,1,0.714285714285714
0,0,0,1,1,1,1
0,0,0,1,1,1,0.714285714285714
0,0,0,0.5,1,1,1
0,0,0,1,0.8,1,0.833333333333333
0,0,1,1,1,1,1
0,0,0,1,0.8,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,0.833333333333333,0.833333333333333
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,0.666666666666667,0.833333333333333,1,0.714285714285714
0,0,1,0.5,1,0.833333333333333,1
0,0,1,1,1,1,1
0,0,0,0.666666666666667,1,1,1
0,0,1,1,1,0.8,1
0,0,0,0.75,1,1,1
0,0,0,1,0.666666666666667,1,1
0,0,0,1,0.75,1,0.833333333333333
0,0,0,1,1,1,1
0,0,1,1,1,1,1
0,0,0,1,1,1,0.833333333333333
0,0,0.5,1,1,1,1
0,0,0,1,0.833333333333333,1,1
0,0,0,1,1,1,0.833333333333333
0,0,1,0.6,1,1,1
0,0,0,0.666666666666667,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,0.5,1,1,1
