chr	start	end	strand	geneName	chrInt	testIndex	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	Zscore	testStat	signedTestStat	pvalue	adjpvalue
chr17	81556886	81638112	-	NPLOC4	17	75294	13	81213	3906	1810961321	10	81216	3988	1810961239	11	81215	4522	1810960705	5	81221	3081	1810962146	4.02741505135072	237.429164668021	237.429164668021	0	0
chr1	1385710	1400335	-	CCNL2	1	145	10	14615	3909	1811027919	7	14618	3991	1811027837	6	14619	4527	1811027301	3	14622	3083	1811028745	5.33598146216678	225.66663282516	225.66663282516	0	0
chr3	47016688	47164967	-	SETD2	3	16064	4	148275	3915	1810894259	3	148276	3995	1810894179	12	148267	4521	1810893653	15	148264	3071	1810895103	3.28793023888667	158.046875448956	158.046875448956	0	0
chr8	143915152	143974529	-	PLEC	8	40807	7	59370	3912	1810983164	7	59370	3991	1810983085	7	59370	4526	1810982550	2	59375	3084	1810983992	3.81163259405319	130.3174944481	130.3174944481	0	0
chr16	30703066	30745169	+	AC106886.6	16	68302	2	42101	3917	1811000433	3	42100	3995	1811000355	10	42093	4523	1810999827	5	42098	3081	1811001269	4.01549708048705	121.314063762024	121.314063762024	0	0
chr16	1677278	1699599	+	JPT2	16	66640	5	22316	3914	1811020218	1	22320	3997	1811020135	7	22314	4526	1811019606	4	22317	3082	1811021050	4.48745973282397	118.934683092986	118.934683092986	0	0
chr21	46097118	46129805	+	COL6A2	21	86382	5	32682	3914	1811009852	7	32680	3991	1811009775	4	32683	4529	1811009237	2	32685	3084	1811010682	4.163173676226	114.411673785129	114.411673785129	0	0
chr11	66069271	66244744	+	PACS1	11	50552	9	175464	3910	1810867070	4	175469	3994	1810866986	10	175463	4523	1810866457	5	175468	3081	1810867899	2.92496494121384	110.757102665899	110.757102665899	0	0
chr8	144290590	144314668	+	HSF1	8	40843	3	24075	3916	1811018459	6	24072	3992	1811018383	4	24074	4529	1811017846	3	24075	3083	1811019292	4.35097437187134	107.625093883253	107.625093883253	0	0
chr9	136440096	136484759	-	SEC16A	9	43941	4	44659	3915	1810997875	8	44655	3990	1810997800	5	44658	4528	1810997262	1	44662	3085	1810998705	3.85096151505377	103.378188281145	103.378188281145	0	0
chr16	30698170	30741409	+	SRCAP	16	68300	1	43238	3918	1810999296	2	43237	3996	1810999218	9	43230	4524	1810998690	5	43234	3081	1811000133	3.82613949300643	96.8102854697499	96.8102854697499	0	0
chr20	63707089	63736141	+	ZGPAT	20	85080	3	29049	3916	1811013485	4	29048	3994	1811013407	6	29046	4527	1811012874	2	29050	3084	1811014317	4.09854219426261	93.4382524531102	93.4382524531102	0	0
chr1	155335267	155563693	-	ASH1L	1	5388	8	228418	3911	1810814116	6	228420	3992	1810814035	7	228419	4526	1810813501	6	228420	3080	1810814947	2.62476592589151	91.6089110916946	91.6089110916946	0	0
chr20	63707863	63739103	+	AL121845.3	20	85081	3	31237	3916	1811011297	4	31236	3994	1811011219	6	31234	4527	1811010686	2	31238	3084	1811012129	4.02591978661793	91.2972574037267	91.2972574037267	0	0
chr12	49002613	49019748	-	PRKAG1	12	54670	2	17133	3917	1811025401	6	17129	3992	1811025326	5	17130	4528	1811024790	0	17135	3086	1811026232	4.48334493013819	90.8475613484625	90.8475613484625	0	0
chr8	144147644	144261809	+	MROH1	8	40836	8	114157	3911	1810928377	3	114162	3995	1810928293	5	114160	4528	1810927760	5	114160	3081	1810929207	3.06671206169036	88.731298033963	88.731298033963	0	0
chr12	48997397	49018719	+	DDN-AS1	12	54666	2	21320	3917	1811021214	6	21316	3992	1811021139	5	21317	4528	1811020603	0	21322	3086	1811022045	4.26468845602979	85.2348213298828	85.2348213298828	0	0
chr17	81878424	81882106	-	AC145207.5	17	75352	0	3682	3919	1811038852	3	3679	3995	1811038776	4	3678	4529	1811038242	2	3680	3084	1811039687	5.6534660706683	83.8147460300243	83.8147460300243	0	0
chr3	49030211	49094611	-	QRICH1	3	16235	6	64394	3913	1810978140	6	64394	3992	1810978061	5	64395	4528	1810977525	0	64400	3086	1810978967	3.42772416665475	83.627791128587	83.627791128587	0	0
chr16	2047201	2088715	+	TSC2	16	66746	2	41512	3917	1811001022	6	41508	3992	1811000947	5	41509	4528	1811000411	2	41512	3084	1811001855	3.74155248030012	82.9429656487191	82.9429656487191	0	0
