chr	start	end	strand	geneName	chrInt	testIndex	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	Zscore	testStat	signedTestStat	pvalue	adjpvalue
chr11	67120268	67255062	+	KDM2A	11	50690	169	134625	19579	1810892080	37	134757	5246	1810906413	0	134794	685	1810910974	97	134697	9686	1810901973	29	134765	3609	1810908050	19	134775	1879	1810909780	228	134566	22766	1810888893	152	134642	17984	1810893675	114	134680	15142	1810896517	4.76775357885763	6373.85907089198	6373.85907089198	0	0
chr17	31093976	31377675	+	NF1	17	72192	129	283570	19619	1810743135	65	283634	5218	1810757536	9	283690	676	1810762078	54	283645	9729	1810753025	49	283650	3589	1810759165	12	283687	1886	1810760868	148	283551	22846	1810739908	185	283514	17951	1810744803	99	283600	15157	1810747597	3.90272823698463	4378.52293739794	4378.52293739794	0	0
chr11	66069271	66244744	+	PACS1	11	50552	121	175352	19627	1810851353	20	175453	5263	1810865717	4	175469	681	1810870299	61	175412	9722	1810861258	18	175455	3620	1810867360	6	175467	1892	1810869088	149	175324	22845	1810848135	107	175366	18029	1810852951	101	175372	15155	1810855825	4.13658615691202	3697.39301560726	3697.39301560726	0	0
chr6	32254337	32391931	+	TSBP1-AS1	6	29762	95	137499	19653	1810889206	26	137568	5257	1810903602	4	137590	681	1810908178	36	137558	9747	1810899112	15	137579	3623	1810905236	11	137583	1887	1810906972	125	137469	22869	1810885990	96	137498	18040	1810890819	71	137523	15185	1810893674	4.17536591610958	3054.19742648443	3054.19742648443	0	0
chr6	32288525	32372899	-	TSBP1	6	29764	83	84291	19665	1810942414	22	84352	5261	1810956818	4	84370	681	1810961398	31	84343	9752	1810952327	12	84362	3626	1810958453	9	84365	1889	1810960190	108	84266	22886	1810939193	84	84290	18052	1810944027	65	84309	15191	1810946888	4.52781059267898	2956.22571317013	2956.22571317013	0	0
chr17	77958239	78106037	+	TNRC6C	17	75036	88	147710	19660	1810878995	28	147770	5255	1810893400	3	147795	682	1810897973	39	147759	9744	1810888911	15	147783	3623	1810895032	6	147792	1892	1810896763	111	147687	22883	1810875772	87	147711	18049	1810880606	50	147748	15206	1810883449	3.98828164921	2565.83662853576	2565.83662853576	0	0
chr17	44395280	44504406	-	GPATCH8	17	73229	71	109055	19677	1810917650	17	109109	5266	1810932061	0	109126	685	1810936642	42	109084	9741	1810927586	17	109109	3621	1810933706	5	109121	1893	1810935434	88	109038	22906	1810914421	66	109060	18070	1810919257	59	109067	15197	1810922130	4.13418727002546	2298.14794265199	2298.14794265199	0	0
chr11	72842953	73141061	-	FCHSD2	11	51050	93	298015	19655	1810728690	15	298093	5268	1810743077	3	298105	682	1810747663	45	298063	9738	1810738607	17	298091	3621	1810744724	9	298099	1889	1810746456	90	298018	22904	1810725441	88	298020	18048	1810730297	81	298027	15175	1810733170	3.3187882847736	2075.14830186497	2075.14830186497	0	0
chr11	65181461	65211987	+	CAPN1	11	50398	42	30484	19706	1810996221	10	30516	5273	1811010654	2	30524	683	1811015244	22	30504	9761	1811006166	9	30517	3629	1811012298	4	30522	1894	1811014033	69	30457	22925	1810993002	58	30468	18078	1810997849	35	30491	15221	1811000706	5.03325047191182	2027.02615096746	2027.02615096746	0	0
chr1	20807318	21177836	-	EIF4G3	1	1043	81	370437	19667	1810656268	15	370503	5268	1810670667	3	370515	682	1810675253	24	370494	9759	1810666176	19	370499	3619	1810672316	8	370510	1890	1810674045	92	370426	22902	1810653033	90	370428	18046	1810657889	65	370453	15191	1810660744	2.99568025345623	1622.75220318977	1622.75220318977	0	0
chr3	47016688	47164967	-	SETD2	3	16064	56	148223	19692	1810878482	11	148268	5272	1810892902	3	148276	682	1810897492	32	148247	9751	1810888423	9	148270	3629	1810894545	6	148273	1892	1810896282	66	148213	22928	1810875246	42	148237	18094	1810880080	59	148220	15197	1810882977	3.57560676725738	1477.98891183455	1477.98891183455	0	0
chr11	65421797	65445540	+	NEAT1	11	50421	34	23709	19714	1811002996	8	23735	5275	1811017435	1	23742	684	1811022026	21	23722	9762	1811012948	6	23737	3632	1811019078	4	23739	1894	1811020816	53	23690	22941	1810999769	36	23707	18100	1811004610	22	23721	15234	1811007476	4.97870610056736	1474.11302398797	1474.11302398797	0	0
chr11	63680495	63758421	+	RTN3	11	50161	43	77883	19705	1810948822	5	77921	5278	1810963249	1	77925	684	1810967843	26	77900	9757	1810958770	10	77916	3628	1810964899	1	77925	1897	1810966630	49	77877	22945	1810945582	54	77872	18082	1810950445	38	77888	15218	1810953309	3.99451667717635	1367.26799853612	1367.26799853612	0	0
chr17	4269258	4367482	-	UBE2G1	17	70713	47	98177	19701	1810928528	14	98210	5269	1810942960	2	98222	683	1810947546	29	98195	9754	1810938475	4	98220	3634	1810944595	2	98222	1896	1810946333	55	98169	22939	1810925290	42	98182	18094	1810930135	39	98185	15217	1810933012	3.7933800360886	1317.22514492646	1317.22514492646	0	0
