chr	start	end	strand	geneName	chrInt	testIndex	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	Zscore	testStat	signedTestStat	pvalue	adjpvalue
chr9	136807158	136841187	+	RABL6	9	43989	10	34019	5810	1811006614	4	34025	4063	1811008361	3	34026	2292	1811010132	2	34027	1253	1811011171	4.32244482466099	126.72760763776	126.72760763776	0	0
chr9	136799365	136829466	+	AL355987.2	9	43984	9	30092	5811	1811010541	4	30097	4063	1811012289	2	30099	2293	1811014059	1	30100	1254	1811015098	4.27301938865091	105.161526839249	105.161526839249	0	0
chr1	1311818	1325670	-	INTS11	1	127	5	13847	5815	1811026786	6	13846	4061	1811028540	2	13850	2293	1811030308	0	13852	1255	1811031346	4.84142332580193	100.066101632256	100.066101632256	0	0
chr19	49594521	49626438	+	PRR12	19	81516	6	31911	5814	1811008722	5	31912	4062	1811010474	1	31916	2294	1811012242	1	31916	1254	1811013282	4.0065357248639	78.6292847956065	78.6292847956065	0	0
chr16	2253827	2268829	-	RNPS1	16	66797	7	14995	5813	1811025638	2	15000	4065	1811027386	0	15002	2295	1811029156	0	15002	1255	1811030196	4.39353869886348	61.2985687009059	61.2985687009059	4.88498130835069e-15	5.16457465029335e-12
chr17	81561765	81638060	-	NPLOC4	17	75297	6	76289	5814	1810964344	4	76291	4063	1810966095	3	76292	2292	1810967866	0	76295	1255	1810968903	3.13496746459136	56.6280287870322	56.6280287870322	5.26245713672324e-14	3.63777469685872e-11
chr9	136375576	136399797	-	SNAPC4	9	43933	4	24217	5816	1811016416	5	24216	4062	1811018170	0	24221	2295	1811019937	0	24221	1255	1811020977	3.91442469125689	52.8119702356053	52.8119702356053	3.67039731941077e-13	2.27476038006102e-10
chr11	66069271	66244744	+	PACS1	11	50552	9	175464	5811	1810865169	2	175471	4065	1810866915	3	175470	2292	1810868688	2	175471	1253	1810869727	2.50987267060599	50.9003575131646	50.9003575131646	9.717782134544e-13	5.82192327680531e-10
chr19	2100987	2152557	-	AP3D1	19	77688	2	51568	5818	1810989065	5	51565	4062	1810990821	2	51568	2293	1810992590	1	51569	1254	1810993629	3.26406815343274	46.0385579949361	46.0385579949361	1.15948362022777e-11	6.52347401097764e-09
chr17	5281486	5383223	+	RABEP1	17	70842	5	101732	5815	1810938901	3	101734	4064	1810940652	3	101734	2292	1810942424	1	101736	1254	1810943462	2.76703594107081	43.9074037582614	43.9074037582614	3.4428460082836e-11	1.87509913051155e-08
chr12	53542886	53626996	-	ATF7	12	55071	8	84102	5812	1810956531	1	84109	4066	1810958277	1	84109	2294	1810960049	1	84109	1254	1810961089	2.87022946445346	42.3837162422715	42.3837162422715	7.50119966141938e-11	3.84028951881853e-08
chr6	35580556	35689942	-	FKBP5	6	30006	3	109383	5817	1810931250	3	109383	4064	1810933003	3	109383	2292	1810934775	3	109383	1252	1810935815	2.69453724269782	42.2809752752655	42.2809752752655	7.90578713605328e-11	3.84028951881853e-08
chr19	1205185	1223873	+	STK11	19	77541	2	18686	5818	1811021947	3	18685	4064	1811023701	1	18687	2294	1811025471	1	18687	1254	1811026511	3.92230375456344	41.1850846186862	41.1850846186862	1.38475231281632e-10	6.38157777390966e-08
chr6	33390822	33409896	+	KIFC1	6	29869	1	19073	5819	1811021560	2	19072	4065	1811023314	3	19071	2292	1811025087	1	19073	1254	1811026125	3.90185659281186	40.9045704031014	40.9045704031014	1.59846913483364e-10	6.68554952793847e-08
chr16	1679336	1699269	+	JPT2	16	66644	2	19931	5818	1811020702	3	19930	4064	1811022456	2	19931	2293	1811024227	0	19933	1255	1811025265	3.85780060425257	40.3005680735805	40.3005680735805	2.17745599329078e-10	8.69675923720337e-08
chr12	53506690	53626979	-	ATF7-NPFF	12	55065	8	120281	5812	1810920352	1	120288	4066	1810922098	2	120287	2293	1810923871	1	120288	1254	1810924910	2.59951379867458	40.1622505543055	40.1622505543055	2.33721264564224e-10	9.13189627828869e-08
chr16	67028148	67101058	+	CBFB	16	69206	5	72905	5815	1810967728	2	72908	4065	1810969478	2	72908	2293	1810971250	1	72909	1254	1810972289	2.91775267557211	39.4291028325097	39.4291028325097	3.40188877068215e-10	1.2737947265723e-07
chr19	1355363	1377094	+	PWWP3A	19	77572	1	21730	5819	1811018903	4	21727	4063	1811020659	2	21729	2293	1811022429	0	21731	1255	1811023467	3.7714272297397	39.118085517548	39.118085517548	3.98931332412644e-10	1.43916107631092e-07
chr16	89301323	89491319	-	ANKRD11	16	70332	6	189990	5814	1810850643	4	189992	4063	1810852394	2	189994	2293	1810854164	2	189994	1253	1810855204	2.29666086584918	39.1110694516101	39.1110694516101	4.00367516917299e-10	1.43916107631092e-07
chr11	65260961	65298685	+	POLA2	11	50401	5	37719	5815	1811002914	2	37722	4065	1811004664	1	37723	2294	1811006435	0	37724	1255	1811007474	3.35343267176125	38.2094109675963	38.2094109675963	6.35452024333461e-10	2.03946057738309e-07
chr11	64765651	64778760	-	SF1	11	50307	3	13106	5817	1811027527	1	13108	4066	1811029278	1	13108	2294	1811031050	1	13108	1254	1811032090	4.12269065059269	37.663262074173	37.663262074173	8.4073126238593e-10	2.54841139324391e-07
chr19	49766133	49807110	+	AP2A1	19	81559	4	40973	5816	1810999660	3	40974	4064	1811001412	1	40976	2294	1811003182	0	40977	1255	1811004221	3.27071110107609	36.9341798551613	36.9341798551613	1.2218508427253e-09	3.37851156866183e-07
chr19	49555710	49581558	-	NOSIP	19	81512	3	25845	5817	1811014788	2	25846	4065	1811016540	2	25846	2293	1811018312	0	25848	1255	1811019350	3.59791527400862	36.7501249283669	36.7501249283669	1.34282007735465e-09	3.6021649627306e-07
chr2	48313681	48379295	+	FOXN2	2	9822	1	65613	5819	1810975020	4	65610	4063	1810976776	3	65611	2292	1810978547	1	65613	1254	1810979585	2.91775843366499	35.4868908824865	35.4868908824865	2.56772858531207e-09	6.15330478184184e-07
chr17	50281576	50288855	-	TMEM92-AS1	17	73710	0	7279	5820	1811033354	4	7275	4063	1811035111	1	7278	2294	1811036880	0	7279	1255	1811037919	4.52867608100289	35.3918250799761	35.3918250799761	2.69616140524676e-09	6.37606696532894e-07
chr19	1406679	1435683	+	DAZAP1	19	77591	4	29000	5816	1811011633	1	29003	4066	1811013383	1	29003	2294	1811015155	1	29003	1254	1811016195	3.48270366334562	35.1840606370242	35.1840606370242	2.99968716532817e-09	6.83714632169578e-07
chr19	2162932	2232578	+	DOT1L	19	77690	5	69641	5815	1810970992	2	69644	4065	1810972742	1	69645	2294	1810974513	1	69645	1254	1810975553	2.85811750839982	34.4732092403574	34.4732092403574	4.32158797636362e-09	9.12695211547444e-07
chr6	31619719	31637771	+	PRRC2A	6	29591	3	18049	5817	1811022584	2	18050	4065	1811024336	1	18051	2294	1811026107	0	18052	1255	1811027146	3.80269071029015	33.8968508262187	33.8968508262187	5.81126868848259e-09	1.16245002265147e-06
chr12	45919130	45991574	-	SCAF11	12	54468	3	72441	5817	1810968192	2	72442	4065	1810969944	2	72442	2293	1810971716	2	72442	1253	1810972756	2.81872579959699	33.8056935997447	33.8056935997447	6.09003691920407e-09	1.20281575328412e-06
chr5	177133228	177295762	+	NSD1	5	28123	0	162534	5820	1810878099	4	162530	4063	1810879856	6	162528	2289	1810881630	2	162532	1253	1810882666	2.29849221852116	33.5647518362966	33.5647518362966	6.89306012269242e-09	1.3466192346212e-06
chr8	22440135	22541056	+	PPP3CC	8	37922	3	100918	5817	1810939715	2	100919	4065	1810941467	3	100918	2292	1810943240	2	100919	1253	1810944279	2.59261290726761	33.3421015490894	33.3421015490894	7.7291095745835e-09	1.47917114979681e-06
chr9	137254326	137273542	+	NELFB	9	44070	4	19212	5816	1811021421	1	19215	4066	1811023171	1	19215	2294	1811024943	0	19216	1255	1811025982	3.74019689743514	33.164236166398	33.164236166398	8.46940184651146e-09	1.58563082695157e-06
chr1	1255163	1274726	-	UBE2J2	1	107	5	19558	5815	1811021075	1	19562	4066	1811022824	0	19563	2295	1811024595	0	19563	1255	1811025635	3.72229818957289	32.9546118396102	32.9546118396102	9.43356992522126e-09	1.72294037644031e-06
chrX	154021572	154098717	-	MECP2	23	91447	4	77141	5816	1810963492	2	77143	4065	1810965243	2	77143	2293	1810967015	1	77144	1254	1810968054	2.75584788473025	32.7436740507255	32.7436740507255	1.05147941464878e-08	1.81713841533486e-06
chr1	21679366	21783991	-	USP48	1	1075	3	104622	5817	1810936011	5	104620	4062	1810937766	2	104623	2293	1810939535	0	104625	1255	1810940573	2.55656525123345	32.6761263272492	32.6761263272492	1.08866191617096e-08	1.86347815422293e-06
chr17	50965074	51047878	-	SPAG9	17	73805	2	82802	5818	1810957831	3	82801	4064	1810959585	2	82802	2293	1810961356	2	82802	1253	1810962396	2.68505262997502	31.5533583942452	31.5533583942452	1.94034507350338e-08	3.14178576631318e-06
chr8	143915152	143974529	-	PLEC	8	40807	5	59372	5815	1810981261	1	59376	4066	1810983010	2	59375	2293	1810984783	0	59377	1255	1810985821	2.89978573905197	31.2725728520309	31.2725728520309	2.24225119582755e-08	3.59821256630433e-06
chr9	127815016	127855636	-	ENG	9	43352	6	40614	5814	1811000019	0	40620	4067	1811001766	1	40619	2294	1811003539	0	40620	1255	1811004578	3.1458485576244	30.6406152670388	30.6406152670388	3.10524926883105e-08	4.89567062357021e-06
chr8	144290590	144314668	+	HSF1	8	40843	2	24076	5818	1811016557	1	24077	4066	1811018309	2	24076	2293	1811020082	1	24077	1254	1811021121	3.51461892455408	30.5295678359689	30.5295678359689	3.2881666833795e-08	5.09467412072239e-06
chr16	2047201	2088715	+	TSC2	16	66746	4	41510	5816	1810999123	2	41512	4065	1811000874	1	41513	2294	1811002645	0	41514	1255	1811003684	3.12407672295274	30.3490832584212	30.3490832584212	3.60877486782485e-08	5.13252569951587e-06
chr16	1613639	1677906	+	CRAMP1	16	66636	4	64263	5816	1810976370	2	64265	4065	1810978121	1	64266	2294	1810979892	1	64266	1254	1810980932	2.82064045818437	30.0788375345874	30.0788375345874	4.14833545292481e-08	5.57846056454864e-06
chr12	53530751	53621218	+	AC023509.6	12	55070	8	90459	5812	1810950174	1	90466	4066	1810951920	0	90467	2295	1810953691	0	90467	1255	1810954731	2.59653670481095	30.0738153689308	30.0738153689308	4.15909261475278e-08	5.57846056454864e-06
chr11	65260927	65326543	+	AP000944.5	11	50400	5	65611	5815	1810975022	2	65614	4065	1810976772	1	65615	2294	1810978543	0	65616	1255	1810979582	2.79986561019415	29.7664657397545	29.7664657397545	4.87349388622604e-08	6.37198043533697e-06
chr1	150811960	150877609	-	ARNT	1	4878	5	65644	5815	1810974989	3	65646	4064	1810976740	0	65649	2295	1810978509	0	65649	1255	1810979549	2.79936277593675	29.7589105095249	29.7589105095249	4.89252378610416e-08	6.37198043533697e-06
chr17	76310933	76355198	-	PRPSAP1	17	74893	4	44261	5816	1810996372	2	44263	4065	1810998123	0	44265	2295	1810999893	1	44264	1254	1811000934	3.05990830322191	29.49157246697	29.49157246697	5.61603726856319e-08	7.10824210055537e-06
chr19	1107640	1175256	-	SBNO2	19	77538	3	67613	5817	1810973020	2	67614	4065	1810974772	2	67614	2293	1810976544	1	67615	1254	1810977583	2.76983829250423	29.3157168169273	29.3157168169273	6.14948932886605e-08	7.68851895101286e-06
chr12	121308356	121353388	-	ANAPC5	12	57310	2	45030	5818	1810995603	4	45028	4063	1810997358	1	45031	2294	1810999127	0	45032	1255	1811000166	3.04272797067409	29.2624350783299	29.2624350783299	6.32092742591794e-08	7.80818078455051e-06
chr12	57229327	57234551	+	SHMT2	12	55468	4	5220	5816	1811035413	0	5224	4067	1811037162	0	5224	2295	1811038934	0	5224	1255	1811039974	4.63721430498224	29.1730720844353	29.1730720844353	6.61927912481986e-08	8.03839889935049e-06
chr16	5238801	7711458	+	RBFOX1	16	67205	0	2472657	5820	1808567976	0	2472657	4067	1808569729	1	2472656	2294	1808571502	0	2472657	1255	1808572541	-2.91069460366776	28.8952465187176	-28.8952465187176	7.64001758524202e-08	9.08612513989724e-06
chr12	49989978	50017720	-	RACGAP1	12	54766	3	27739	5817	1811012894	1	27741	4066	1811014645	1	27741	2294	1811016417	1	27741	1254	1811017457	3.37295751445265	28.8840636808891	28.8840636808891	7.68425427732922e-08	9.08612513989724e-06
