chr	start	end	strand	geneName	chrInt	testIndex	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	Zscore	testStat	signedTestStat	pvalue	adjpvalue
chr13	71439945	71867769	-	DACH1	13	58965	0	427824	5820	1810612809	0	427824	4067	1810614562	1	427823	2294	1810616335	0	427824	1255	1810617374	20	427804	13935	1810604694	18	427806	7243	1810611386	25	427799	14504	1810604125	-3.16647342778017	32.5307436289731	-32.5307436289731	1.17321838910556e-08	5.85760540207647e-05
chrX	31119227	33129165	-	DMD	23	88979	6	2009932	5814	1809030701	4	2009934	4063	1809032452	4	2009934	2291	1809034224	2	2009936	1253	1809035262	1	2009937	13954	1809022561	1	2009937	7260	1809029255	1	2009937	14528	1809021987	2.65348898389396	26.87311262195	26.87311262195	2.17260483714732e-07	0.000536644804789876
chr9	134640804	134844840	+	COL5A1	9	43830	5	204031	5815	1810836602	4	204032	4063	1810838354	0	204036	2295	1810840122	1	204035	1254	1810841163	0	204036	13955	1810828462	0	204036	7261	1810835156	0	204036	14529	1810827888	14.8664829618718	25.9558242431376	25.9558242431376	3.4931994952192e-07	0.000536644804789876
chr3	170417867	170860380	+	AC026316.4	3	19105	5	442508	5815	1810598125	5	442508	4062	1810599878	0	442513	2295	1810601645	0	442513	1255	1810602685	0	442513	13955	1810589985	0	442513	7261	1810596679	0	442513	14529	1810589411	15.8664711625013	25.9558077896945	25.9558077896945	3.49322926695983e-07	0.000536644804789876
chrX	141176322	141649175	+	SPANXA2-OT1	23	91111	5	472848	5815	1810567785	3	472850	4064	1810569536	2	472851	2293	1810571307	0	472853	1255	1810572345	0	472853	13955	1810559645	0	472853	7261	1810566339	0	472853	14529	1810559071	14.8664705534843	25.9557950224262	25.9557950224262	3.49325236959075e-07	0.000536644804789876
chr3	28575174	30004034	+	RBMS3	3	15468	3	1428857	5817	1809611776	6	1428854	4061	1809613532	1	1428859	2294	1809615299	0	1428860	1255	1809616338	0	1428860	13955	1809603638	0	1428860	7261	1809610332	0	1428860	14529	1809603064	15.8664641651511	25.9557927660644	25.9557927660644	3.49325645299103e-07	0.000536644804789876
chr11	67120268	67255062	+	KDM2A	11	50690	2	134792	5818	1810905841	1	134793	4066	1810907593	1	134793	2294	1810909365	0	134794	1255	1810910404	27	134767	13928	1810897731	14	134780	7247	1810904412	31	134763	14498	1810897161	-1.91386961363362	25.0251837302931	-25.0251837302931	5.65863732315819e-07	0.000706366088816628
chr5	158698688	159100761	-	EBF1	5	27676	3	402070	5817	1810638563	2	402071	4065	1810640315	2	402071	2293	1810642087	2	402071	1253	1810643127	0	402073	13955	1810630425	0	402073	7261	1810637119	0	402073	14529	1810629851	14.7610364101727	23.3597284296993	23.3597284296993	1.34362238690677e-06	0.00101970985147548
chr1	1311818	1325670	-	INTS11	1	127	5	13847	5815	1811026786	6	13846	4061	1811028540	2	13850	2293	1811030308	0	13852	1255	1811031346	1	13851	13954	1811018647	0	13852	7261	1811025340	1	13851	14528	1811018073	2.85136302227864	23.2403526422568	23.2403526422568	1.4296581106743e-06	0.00101970985147548
chr17	75320340	75394803	-	GRB2	17	74783	1	74462	5819	1810966171	1	74462	4066	1810967924	1	74462	2294	1810969696	0	74463	1255	1810970735	22	74441	13933	1810958057	12	74451	7249	1810964741	27	74436	14502	1810957488	-2.0356245198681	22.52627199376	-22.52627199376	2.07289140918832e-06	0.00133554207797375
chr6	123803140	124658958	+	NKAIN2	6	31791	0	855818	5820	1810184815	0	855818	4067	1810186568	0	855818	2295	1810188340	0	855818	1255	1810189380	14	855804	13941	1810176694	7	855811	7254	1810183381	12	855806	14517	1810176118	-13.7930530639859	21.0701441843994	-21.0701441843994	4.42773397124618e-06	0.00199545046249608
chr8	143915152	143974529	-	PLEC	8	40807	5	59372	5815	1810981261	1	59376	4066	1810983010	2	59375	2293	1810984783	0	59377	1255	1810985821	0	59377	13955	1810973121	0	59377	7261	1810979815	0	59377	14529	1810972547	14.6432330906607	20.7638611602597	20.7638611602597	5.19541643673183e-06	0.00199545046249608
chr8	135457546	135647610	+	KHDRBS3	8	40520	2	190062	5818	1810850571	4	190060	4063	1810852326	1	190063	2294	1810854095	1	190063	1254	1810855135	0	190064	13955	1810842434	0	190064	7261	1810849128	0	190064	14529	1810841860	14.643188755442	20.7637832874898	20.7637832874898	5.19562770551207e-06	0.00199545046249608
chr1	240090882	240475187	+	FMN2	1	8139	3	384302	5817	1810656331	1	384304	4066	1810658082	2	384303	2293	1810659855	2	384303	1253	1810660895	0	384305	13955	1810648193	0	384305	7261	1810654887	0	384305	14529	1810647619	14.6431785410382	20.7637639471795	20.7637639471795	5.19568017709471e-06	0.00199545046249608
chr3	61560910	62293329	+	PTPRG	3	16798	2	732417	5818	1810308216	3	732416	4064	1810309970	2	732417	2293	1810311741	1	732418	1254	1810312780	0	732419	13955	1810300079	0	732419	7261	1810306773	0	732419	14529	1810299505	14.6431738386445	20.7637568584178	20.7637568584178	5.19569940959919e-06	0.00199545046249608
chr2	132671799	133569460	-	NCKAP5	2	11953	4	897657	5816	1810142976	1	897660	4066	1810144726	1	897660	2294	1810146498	2	897659	1253	1810147539	0	897661	13955	1810134837	0	897661	7261	1810141531	0	897661	14529	1810134263	14.643172874597	20.7637567711063	20.7637567711063	5.19569964640976e-06	0.00199545046249608
chr6	32292955	32372912	-	TSBP1	6	29771	0	79957	5820	1810960676	0	79957	4067	1810962429	0	79957	2295	1810964201	0	79957	1255	1810965241	9	79948	13946	1810952550	7	79950	7254	1810959242	15	79942	14514	1810951982	-13.7306167257775	19.7942664141301	-19.7942664141301	8.6240987425823e-06	0.00269125097452112
chr12	38652202	38906591	-	CPNE8	12	54334	0	254389	5820	1810786244	0	254389	4067	1810787997	0	254389	2295	1810789769	0	254389	1255	1810790809	13	254376	13942	1810778122	5	254384	7256	1810784808	12	254377	14517	1810777547	-13.6976909571918	19.1543326955289	-19.1543326955289	1.20563522881811e-05	0.00348952993912618
chr12	57127482	57213361	+	LRP1	12	55456	5	85874	5815	1810954759	1	85878	4066	1810956508	0	85879	2295	1810958279	1	85878	1254	1810959320	0	85879	13955	1810946619	0	85879	7261	1810953313	0	85879	14529	1810946045	14.5096036137439	18.1679596242029	18.1679596242029	2.02253007689501e-05	0.00429713820209969
chr3	12286883	12434344	+	PPARG	3	15091	4	147457	5816	1810893176	0	147461	4067	1810894925	1	147460	2294	1810896698	2	147459	1253	1810897739	0	147461	13955	1810885037	0	147461	7261	1810891731	0	147461	14529	1810884463	14.5095865594066	18.1679338065442	18.1679338065442	2.02255749607305e-05	0.00429713820209969
chr3	170466281	170755208	+	SLC7A14-AS1	3	19110	4	288923	5816	1810751710	3	288924	4064	1810753462	0	288927	2295	1810755231	0	288927	1255	1810756271	0	288927	13955	1810743571	0	288927	7261	1810750265	0	288927	14529	1810742997	15.5095748400998	18.1679276125506	18.1679276125506	2.02256407435542e-05	0.00429713820209969
chr20	52971357	53495330	+	TSHZ2	20	84632	4	523969	5816	1810516664	1	523972	4066	1810518414	1	523972	2294	1810520186	1	523972	1254	1810521226	0	523973	13955	1810508525	0	523973	7261	1810515219	0	523973	14529	1810507951	14.5095694678493	18.1679091972765	18.1679091972765	2.02258363225516e-05	0.00429713820209969
chr5	9040643	9547075	-	SEMA5A	5	24222	1	506431	5819	1810534202	4	506428	4063	1810535958	2	506430	2293	1810537728	0	506432	1255	1810538766	0	506432	13955	1810526066	0	506432	7261	1810532760	0	506432	14529	1810525492	14.509569670184	18.1679086235818	18.1679086235818	2.02258424154556e-05	0.00429713820209969
chr3	65353524	66039308	-	MAGI1	3	16880	1	685783	5819	1810354850	2	685782	4065	1810356604	2	685782	2293	1810358376	2	685782	1253	1810359416	0	685784	13955	1810346714	0	685784	7261	1810353408	0	685784	14529	1810346140	14.5095678527524	18.1679080070462	18.1679080070462	2.02258489634399e-05	0.00429713820209969
chr17	60886049	61392125	+	BCAS3	17	74122	3	506073	5817	1810534560	1	506075	4066	1810536311	3	506073	2292	1810538085	0	506076	1255	1810539122	0	506076	13955	1810526422	0	506076	7261	1810533116	0	506076	14529	1810525848	14.5095696630503	18.1679070680402	18.1679070680402	2.02258589361293e-05	0.00429713820209969
