chr	start	end	strand	geneName	chrInt	testIndex	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	Zscore	testStat	signedTestStat	pvalue	adjpvalue
chr15	54899000	54980000	+	SIMULA80K+	15	31787	0	81000	400	56699584	1	80999	399	56699585	0	81000	400	56699584	0	81000	400	56699584	17	80983	383	56699601	10	80990	390	56699594	10	80990	390	56699594	13	80987	387	56699597	-3.94329797086487	61.6233042341337	-61.6233042341337	4.10782519111308e-15	1.49114054437405e-12
chr15	96999000	97040000	+	SIMULA40K+	15	32632	0	41000	400	56739584	0	41000	400	56739584	0	41000	400	56739584	0	41000	400	56739584	4	40996	396	56739588	5	40995	395	56739589	6	40994	394	56739590	6	40994	394	56739590	-13.3647467874295	29.2521841258858	-29.2521841258858	6.35445588370587e-08	1.15333374289262e-05
chr15	22300000	22321000	-	SIMULA20K-	15	31105	0	21000	400	56759584	0	21000	400	56759584	0	21000	400	56759584	0	21000	400	56759584	3	20997	397	56759587	2	20998	398	56759586	0	21000	400	56759584	3	20997	397	56759587	-12.3914636542548	11.1107193671342	-11.1107193671342	0.000858301939296258	0.103854534654847
chr15	77100655	77421144	-	PEAK1	15	32245	0	320489	400	56460095	0	320489	400	56460095	2	320487	398	56460097	2	320487	398	56460097	5	320484	395	56460100	5	320484	395	56460100	4	320485	396	56460099	3	320486	397	56460098	-1.4551078994631	8.71507558846497	-8.71507558846497	0.00315589333167565	0.283261935831215
chr15	90716345	90816166	+	BLM	15	32535	0	99821	400	56680763	0	99821	400	56680763	0	99821	400	56680763	0	99821	400	56680763	1	99820	399	56680764	0	99821	400	56680763	3	99818	397	56680766	2	99819	398	56680765	-12.1023973238525	8.32901556220895	-8.32901556220895	0.00390167955690379	0.283261935831215
chr15	23756114	23856375	+	AC087490.1	15	31126	8	100253	392	56680331	4	100257	396	56680327	2	100259	398	56680325	4	100257	396	56680327	2	100259	398	56680325	0	100261	400	56680323	1	100260	399	56680324	2	100259	398	56680325	1.28915018601603	7.85320490329468	7.85320490329468	0.00507306969808841	0.306920716734349
chr15	65610404	65660995	+	SLC24A1	15	31991	2	50589	398	56729995	2	50589	398	56729995	0	50591	400	56729993	1	50590	399	56729994	0	50591	400	56729993	0	50591	400	56729993	0	50591	400	56729993	0	50591	400	56729993	11.9194708745501	6.93929161276901	6.93929161276901	0.00843225009324056	0.32072612852399
chr15	60478151	60544452	+	RORA-AS1	15	31882	3	66298	397	56714286	1	66300	399	56714284	1	66300	399	56714284	0	66301	400	56714283	0	66301	400	56714283	0	66301	400	56714283	0	66301	400	56714283	0	66301	400	56714283	11.9194589717088	6.93927697541949	6.93927697541949	0.00843231909636089	0.32072612852399
chr15	38251835	38357249	+	SPRED1	15	31412	0	105414	400	56675170	0	105414	400	56675170	0	105414	400	56675170	0	105414	400	56675170	1	105413	399	56675171	1	105413	399	56675171	1	105413	399	56675171	2	105412	398	56675172	-11.9194447516682	6.93925937965105	-6.93925937965105	0.00843240204676932	0.32072612852399
chr15	26970180	27541984	+	GABRG3	15	31249	0	571804	400	56208780	3	571801	397	56208783	2	571802	398	56208782	3	571801	397	56208783	9	571795	391	56208789	5	571799	395	56208785	3	571801	397	56208783	5	571799	395	56208785	-1.02043995996176	6.85579357700772	-6.85579357700772	0.00883543053785096	0.32072612852399
