chr	start	end	strand	geneName	chrInt	testIndex	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	Zscore	testStat	signedTestStat	pvalue	adjpvalue
chr11	67120268	67255062	+	KDM2A	11	50690	294	134500	34436	1810877223	224	134570	28292	1810883367	130	134664	11204	1810900455	23	134771	1820	1810909839	336	134458	38591	1810873068	154	134640	17483	1810894176	4.77496557845675	8773.22904330306	8773.22904330306	0	0
chr11	66069271	66244744	+	PACS1	11	50552	229	175244	34501	1810836479	182	175291	28334	1810842646	66	175407	11268	1810859712	12	175461	1831	1810869149	228	175245	38699	1810832281	127	175346	17510	1810853470	4.18921832649067	5403.04520566529	5403.04520566529	0	0
chr6	32254337	32391931	+	TSBP1-AS1	6	29762	178	137416	34552	1810874307	143	137451	28373	1810880486	54	137540	11280	1810897579	9	137585	1834	1810907025	210	137384	38717	1810870142	97	137497	17540	1810891319	4.2312863484629	4481.60374967335	4481.60374967335	0	0
chr6	32288525	32372899	-	TSBP1	6	29764	147	84227	34583	1810927496	115	84259	28401	1810933678	44	84330	11290	1810950789	7	84367	1836	1810960243	183	84191	38744	1810923335	79	84295	17558	1810944521	4.53604792609222	4075.63147823699	4075.63147823699	0	0
chr17	77958239	78106037	+	TNRC6C	17	75036	140	147658	34590	1810864065	152	147646	28364	1810870291	45	147753	11289	1810887366	7	147791	1836	1810896819	179	147619	38748	1810859907	82	147716	17555	1810881100	4.02600924556007	3679.96122624679	3679.96122624679	0	0
chr17	31093976	31377675	+	NF1	17	72192	174	283525	34556	1810728198	142	283557	28374	1810734380	52	283647	11282	1810751472	12	283687	1831	1810760923	142	283557	38785	1810723969	87	283612	17550	1810745204	3.3801282719544	2937.62621304579	2937.62621304579	0	0
chr11	72842953	73141061	-	FCHSD2	11	51050	157	297951	34573	1810713772	125	297983	28391	1810719954	51	298057	11283	1810737062	4	298104	1839	1810746506	188	297920	38739	1810709606	84	298024	17553	1810730792	3.33055918460082	2879.37919400586	2879.37919400586	0	0
chr17	44395280	44504406	-	GPATCH8	17	73229	119	109007	34611	1810902716	83	109043	28433	1810908894	33	109093	11301	1810926026	3	109123	1840	1810935487	149	108977	38778	1810898549	62	109064	17575	1810919752	4.02999448361236	2735.10243374901	2735.10243374901	0	0
chr11	65181461	65211987	+	CAPN1	11	50398	93	30433	34637	1810981290	67	30459	28449	1810987478	41	30485	11293	1811004634	2	30524	1841	1811014086	92	30434	38835	1810977092	42	30484	17595	1810998332	5.01745417050887	2710.70608580764	2710.70608580764	0	0
chr1	20807318	21177836	-	EIF4G3	1	1043	159	370359	34571	1810641364	120	370398	28396	1810647539	52	370466	11282	1810664653	3	370515	1840	1810674095	171	370347	38756	1810637179	67	370451	17570	1810658365	3.05002234241544	2397.01653591869	2397.01653591869	0	0
