testIndex	chr	start	end	strand	geneName	chrInt	(Intercept)	typeMacr	typeNeut	typeNK	typeT	time	interaction	testStat	signedTestStat	pvalue	adjpvalue	robustAnalysis	robustInteraction	robustTestStat	robustSignedTestStat	robustPvalue	robustAdjPvalue
11296	chr9	129887186	130044194	-	FNBP1	9	-8.81157853646868	1.14061561465015	1.08160900922874	0.838865644579988	0.14695251367546	0.331677192951618	0.567282779095755	3302.7969368929	3302.7969368929	0	0	TRUE	0.401233585633401	1153.80435646581	1153.80435646581	0	0
1963	chr1	198638039	198757476	+	PTPRC	1	-8.81228823129022	1.14087042743986	1.08204828651401	0.836976979851566	0.149516157225449	0.332960992307357	0.856008039994355	3251.79533064738	3251.79533064738	0	0	TRUE	0.702460317149414	909.112491517328	909.112491517328	0	0
7876	chr6	32261701	32407763	+	TSBP1-AS1	6	-8.81279942502614	1.13993311537385	1.08413577577571	0.838632163485423	0.149080147789665	0.332783374766084	0.313509577381693	1186.08704233728	1186.08704233728	0	0	TRUE	-0.529803059042099	880.911599858664	-880.911599858664	0	0
19352	chr17	80543837	80966368	+	RPTOR	17	-8.81395666002135	1.14080675237623	1.08324026363003	0.839280576195546	0.150857951965956	0.337102978436847	-0.710262454244293	712.90420036763	-712.90420036763	0	0	TRUE	-0.760782675907476	732.290569801582	-732.290569801582	0	0
7877	chr6	32288525	32372899	-	TSBP1	6	-8.81251882643442	1.13972794982459	1.084384698884	0.838905884934731	0.149545955765203	0.332015880235961	0.391305495285302	1729.55788982473	1729.55788982473	0	0	TRUE	-0.50830863270328	665.230324438773	-665.230324438773	0	0
19249	chr17	75318075	75406709	-	GRB2	17	-8.81398634195966	1.13967421088085	1.08270148262747	0.838478670720088	0.149783313450734	0.337760139944105	-0.51310805993579	622.349441730185	-622.349441730185	0	0	TRUE	-0.53680279418029	624.252569188364	-624.252569188364	0	0
18810	chr17	42199176	42277391	-	STAT5B	17	-8.81408752400145	1.13988033257955	1.08289732985726	0.838967980015644	0.149766210907471	0.337351927162148	-0.443234691792154	379.738544381456	-379.738544381456	0	0	TRUE	-0.5980818569356	518.023626371753	-518.023626371753	0	0
13267	chr11	66069271	66244744	+	PACS1	11	-8.81400520295206	1.13998082811808	1.08282520573515	0.839122718659625	0.149544071555423	0.337794560721883	-0.329269771822458	417.914206408896	-417.914206408896	0	0	TRUE	-0.379792867315959	496.038882116322	-496.038882116322	0	0
20574	chr19	37906207	38208369	+	SIPA1L3	19	-8.81344680980218	1.1395925212863	1.08193360378545	0.838317709107857	0.149833087833952	0.334541585350831	0.566433918408271	1151.43880813033	1151.43880813033	0	0	TRUE	0.467492672115139	447.757606955012	447.757606955012	0	0
20934	chr19	49289637	49326191	-	SLC6A16	19	-8.81429093813164	1.1401424561995	1.08254710770916	0.83931148896771	0.149428646916631	0.337376362238983	-0.500644912303228	327.332379940897	-327.332379940897	0	0	TRUE	-0.703504826952544	438.820131330984	-438.820131330984	0	0
2735	chr2	43230835	43597046	-	THADA	2	-8.81414399186812	1.13964958907233	1.08261408300813	0.839886283459361	0.14916749355815	0.337483765651551	-0.377986811561775	292.823540175799	-292.823540175799	0	0	TRUE	-0.498326991300137	395.89569229167	-395.89569229167	0	0
19302	chr17	77087748	77216802	+	SEC14L1	17	-8.81419060110656	1.13983610031056	1.08280809239851	0.838980500355617	0.149497309739353	0.33732335084995	-0.519527928938479	347.216471071821	-347.216471071821	0	0	TRUE	-0.569104830124381	364.224181368016	-364.224181368016	0	0
17130	chr15	90716345	90816166	+	BLM	15	-8.81422031722524	1.14009064862385	1.08302734253494	0.840025400211448	0.149490808466214	0.337121203627472	-0.544476184499294	279.280361430487	-279.280361430487	0	0	TRUE	-0.689220705084065	322.528938890435	-322.528938890435	0	0
13302	chr11	67288302	67302484	+	ANKRD13D	11	-8.81422926339622	1.13983184586193	1.0825120414628	0.839160318917795	0.149534508915678	0.337165705430836	-0.695388284967967	339.349544167053	-339.349544167053	0	0	TRUE	-0.703945380827813	305.573680711212	-305.573680711212	0	0
3758	chr2	212999690	213152609	-	IKZF2	2	-8.81425874005197	1.1397829387194	1.08235844551039	0.839332570123542	0.149430150232603	0.337133796742833	-0.617043416476473	265.627179691801	-265.627179691801	0	0	TRUE	-0.81886012453122	304.108202010393	-304.108202010393	0	0
17927	chr16	69564965	69704654	+	NFAT5	16	-8.81416302433792	1.13985089117054	1.08253283481797	0.839032928080209	0.148768048530342	0.337098187708653	-0.170271891506895	45.5356648785528	-45.5356648785528	1.49884549216495e-11	1.29012775540553e-10	TRUE	-0.668708133884887	299.531813457841	-299.531813457841	0	0
7934	chr6	34284886	34427071	-	RPS10-NUDT3	6	-8.8139236433143	1.14001073490252	1.08308746704049	0.83929076734064	0.149252551655689	0.337126365407387	-0.512745395795627	286.645707249641	-286.645707249641	0	0	TRUE	-0.567727535737864	292.54498237255	-292.54498237255	0	0
18812	chr17	42313323	42389568	-	STAT3	17	-8.81238546457945	1.14231378521912	1.08495704960479	0.836015338645376	0.151681587773356	0.328657923220714	1.00955117724803	8937.20674780384	8937.20674780384	0	0	TRUE	-0.779814384780212	273.540711374255	-273.540711374255	0	0
13222	chr11	65180193	65212006	+	CAPN1	11	-8.81413807421201	1.13974535410681	1.08246650333926	0.839113284938179	0.148856174732219	0.337063439898043	-0.132969024266668	37.5725529137999	-37.5725529137999	8.80751471754593e-10	5.71247961609845e-09	TRUE	-0.473411542547338	258.313854759792	-258.313854759792	0	0
7952	chr6	35573584	35729583	-	FKBP5	6	-8.81403506632288	1.13978495868288	1.08247155786297	0.838867028748123	0.149349911201567	0.337041563671329	-0.658566615780932	267.839667692548	-267.839667692548	0	0	TRUE	-0.746947213976156	253.167180463672	-253.167180463672	0	0
7933	chr6	34279678	34393669	-	NUDT3	6	-8.81394076715676	1.14000461173542	1.08306487553777	0.839287709795219	0.149144153790798	0.337122247263226	-0.482907920173757	249.078214196488	-249.078214196488	0	0	TRUE	-0.534111288660319	252.68846186623	-252.68846186623	0	0
14000	chr12	6987258	7071032	+	C1S	12	-8.81437320516963	1.13998885613462	1.08289022317489	0.83929951848573	0.149225991149271	0.337207433915069	-0.791256375798265	282.096220242325	-282.096220242325	0	0	TRUE	-0.783267898512692	246.018445272697	-246.018445272697	0	0
13969	chr12	6493101	6531955	+	NCAPD2	12	-8.81426721854484	1.13989245459692	1.08252694174636	0.839246778560581	0.149220299280891	0.337082388569993	-0.574027668683339	186.622939964524	-186.622939964524	0	0	TRUE	-0.89982844136623	242.127261143876	-242.127261143876	0	0
4429	chr3	49724293	49787542	-	IP6K1	3	-8.81384905301444	1.13990929573465	1.08262674474902	0.838703721271395	0.148625581394903	0.337158759889745	-0.616602952031358	221.282199043548	-221.282199043548	0	0	TRUE	-0.739390596532298	241.107571927831	-241.107571927831	0	0
