testIndex	chr	start	end	strand	geneName	chrInt	(Intercept)	patip3	patip4	patip5	patip6	patip7	patip8	time	interaction	testStat	signedTestStat	pvalue	adjpvalue	robustAnalysis	robustInteraction	robustTestStat	robustSignedTestStat	robustPvalue	robustAdjPvalue
55736	chr12	65823897	65958854	+	HMGA2	12	-7.30813217094541	0.219845952444258	-0.898820432555964	-1.03264324030903	-0.627439811378642	1.1539134147963	-1.05370439911224	0.143600659146494	0.391890385372181	26238.830249703	26238.830249703	0	0	TRUE	0.225239909759467	5462.26667091344	5462.26667091344	0	0
87879	chr22	40043816	40335807	+	TNRC6B	22	-7.38324248123969	0.241868518089325	-0.848981079621711	-1.00580585282766	-0.571645601488747	1.16626715995148	-1.03490959201954	0.165969088377	-0.423347054878517	1015.11305170692	-1015.11305170692	0	0	TRUE	-0.433870679534991	1044.11721229972	-1044.11721229972	0	0
75223	chr17	80543837	80966368	+	RPTOR	17	-7.38209855768798	0.24195206154619	-0.848625736763417	-1.00722274166282	-0.572878482734665	1.16263528825625	-1.03600552754755	0.165899594402829	-0.437465817856199	936.420320138801	-936.420320138801	0	0	TRUE	-0.470864298065647	1015.33321840921	-1015.33321840921	0	0
72189	chr17	31093926	31219359	+	NF1	17	-7.37391035726777	0.240206000676559	-0.854693714259337	-1.01107108938026	-0.578678418898306	1.15875434305983	-1.04267798478639	0.16510607317078	-0.35109929003823	955.524329182226	-955.524329182226	0	0	TRUE	-0.365994924048859	999.94321527658	-999.94321527658	0	0
50552	chr11	66069271	66244744	+	PACS1	11	-7.37863848392658	0.241002667083089	-0.851099410314279	-1.00980128957932	-0.575757156597889	1.16155396672542	-1.03922601463135	0.165911218749003	-0.221248610904698	786.022368318867	-786.022368318867	0	0	TRUE	-0.268414242275936	977.378027381841	-977.378027381841	0	0
73229	chr17	44395280	44504406	-	GPATCH8	17	-7.38213486591615	0.242313467679617	-0.848918447600091	-1.00638305111748	-0.57229488500716	1.16440205696866	-1.0359248328606	0.165713901672041	-0.382831524266224	796.538147810847	-796.538147810847	0	0	TRUE	-0.435279778478335	924.231237992179	-924.231237992179	0	0
30301	chr6	42563061	42693504	+	UBR2	6	-7.38331404543399	0.242847896522041	-0.84883266461782	-1.00626517103653	-0.571363590802453	1.16540228075434	-1.0355537125338	0.165815203480932	-0.441713076246292	767.847838143818	-767.847838143818	0	0	TRUE	-0.51439660028073	903.115932298824	-903.115932298824	0	0
50688	chr11	67118262	67258082	+	KDM2A	11	-7.38111662765012	0.242949397776057	-0.847935375194751	-1.00587728168424	-0.572732962044604	1.16435118907538	-1.03495591796368	0.165589214604565	-0.255991786413089	795.315104774199	-795.315104774199	0	0	TRUE	-0.276985234767615	889.248923318926	-889.248923318926	0	0
29762	chr6	32254337	32391931	+	TSBP1-AS1	6	-7.37959509532852	0.242933308029721	-0.851453175913527	-1.00888237797082	-0.574816334412501	1.16401598739036	-1.03786927424956	0.165454725441906	-0.158299817539512	256.357578661293	-256.357578661293	0	0	TRUE	-0.327476964372264	766.261953696143	-766.261953696143	0	0
16064	chr3	47016688	47164967	-	SETD2	3	-7.38242739793196	0.243098553655808	-0.849361205222001	-1.00602433650905	-0.572285770362788	1.16391743384556	-1.03518936805166	0.165688716065932	-0.374680564447868	686.979308709502	-686.979308709502	0	0	TRUE	-0.398500702373653	739.093299156521	-739.093299156521	0	0
16312	chr3	49724293	49787542	-	IP6K1	3	-7.38180512801041	0.241602561521678	-0.850086231080496	-1.00714981318652	-0.573011239795571	1.16314061754519	-1.03563530968162	0.165685804814158	-0.448030102100418	705.930243031587	-705.930243031587	0	0	TRUE	-0.45636201246669	717.4827378341	-717.4827378341	0	0
81309	chr19	48208085	48256912	-	CARD8	19	-7.3831250591171	0.242282848330109	-0.848236518747395	-1.00577906373719	-0.571928035697596	1.16528003433662	-1.03511427074198	0.165832108025573	-0.29481162211616	594.22775790561	-594.22775790561	0	0	TRUE	-0.336697692038657	688.307824307121	-688.307824307121	0	0
