chr	start	end	strand	geneName	chrInt	testIndex	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	Zscore	testStat	signedTestStat	pvalue	adjpvalue
chr15	54899000	54980000	+	SIMULA80K+	15	31787	5	80995	395	56699589	3	80997	397	56699587	7	80993	393	56699591	7	80993	393	56699591	2.27826995062501	60.5052637405388	60.5052637405388	7.32747196252603e-15	1.36290978502984e-12
chr15	96999000	97040000	+	SIMULA40K+	15	32632	1	40999	394	56739590	3	40997	394	56739590	2	40998	391	56739593	1	40999	392	56739592	1.81914063233059	13.7162184070257	13.7162184070257	0.000212610520980872	0.0231075119702843
chr15	22300000	22321000	-	SIMULA20K-	15	31105	1	20999	393	56759591	0	21000	394	56759590	1	20999	390	56759594	3	20997	389	56759595	2.15527507560995	12.6987686860884	12.6987686860884	0.000365896428291768	0.0341524757105631
chr15	101960458	101961596	-	MIR1302-10	15	32730	0	1138	393	56779453	0	1138	394	56779452	1	1137	389	56779457	1	1137	388	56779458	4.15624221911438	12.6843055605568	12.6843055605568	0.000368737511495021	0.0674789646035888
chr15	101959538	101962029	-	AC140725.1	15	32729	0	2491	393	56778100	0	2491	394	56778099	1	2490	389	56778104	1	2490	388	56778105	3.37256776810062	9.62471840819489	9.62471840819489	0.00191975882022943	0.0762787057443602
chr15	37500000	37511000	-	SIMULA10K-	15	31407	2	10998	391	56769593	1	10999	393	56769591	0	11000	390	56769594	0	11000	389	56769595	2.29317900082607	8.35992816692306	8.35992816692306	0.00383585730416225	0.0948262912175326
chr15	38068811	38073990	-	LINC01852	15	31410	1	5178	392	56775413	0	5179	394	56775411	0	5179	390	56775415	1	5178	388	56775417	2.64048847926891	6.84488845620945	6.84488845620945	0.00888952496534712	0.162456367445918
chr15	74298502	74304527	+	AC023300.3	15	32152	0	6025	393	56774566	1	6024	393	56774566	1	6024	389	56774570	0	6025	389	56774570	2.48915452900744	6.2862493032444	6.2862493032444	0.0121678276121188	0.185559371084811
chr15	57318137	57325038	+	LINC01413	15	31828	1	6900	392	56773691	1	6900	393	56773690	0	6901	390	56773693	0	6901	389	56773694	2.35337971507997	5.79149634655187	5.79149634655187	0.0161038762638708	0.215255734154568
chr15	64364303	64382441	-	PCLAF	15	31947	0	18138	393	56762453	0	18138	394	56762452	0	18138	390	56762456	3	18135	386	56762460	1.79291251073404	5.75223937696865	5.75223937696865	0.0164676517932456	0.215255734154568
chr15	30624965	30649529	+	ARHGAP11B	15	31308	0	24564	393	56756027	1	24563	393	56756027	1	24563	389	56756031	1	24563	388	56756032	1.48951570669515	4.28647927995189	4.28647927995189	0.0384166391155252	0.370012892533743
chr15	69277674	69288574	+	AC026992.1	15	32059	0	10900	393	56769691	0	10900	394	56769690	0	10900	390	56769694	2	10898	387	56769697	1.89618623116769	4.18339296944032	4.18339296944032	0.040821897594174	0.373520362986692
chr15	55538889	55589947	-	PYGO1	15	31802	3	51055	390	56729536	0	51058	394	56729532	0	51058	390	56729536	1	51057	388	56729538	1.04567963739095	3.17272497068188	3.17272497068188	0.074877421462741	0.458129577528877
chr15	85759325	85795925	-	KLHL25	15	32437	2	36598	391	56743993	0	36600	394	56743990	0	36600	390	56743994	1	36599	388	56743996	1.09052729375112	2.55683651936124	2.55683651936124	0.109818134747537	0.536535036563907
chr15	60641053	60659791	+	AC009560.4	15	31887	0	18738	393	56761853	0	18738	394	56761852	2	18736	388	56761858	0	18738	389	56761857	1.35423820820379	2.4480923050869	2.4480923050869	0.117667795968032	0.538522617497789
chr15	51680491	51720071	+	SCG3	15	31743	1	39579	392	56741012	0	39580	394	56741010	2	39578	388	56741016	0	39580	389	56741015	1.01219753316354	2.25134819673985	2.25134819673985	0.133498049056496	0.560124184026696
chr15	51413096	51498833	+	AC066613.2	15	31740	0	85737	393	56694854	2	85735	392	56694855	1	85736	389	56694858	2	85735	387	56694860	0.750524876136957	2.22196175450517	2.22196175450517	0.136060077010732	0.560124184026696
chr15	65381483	65423947	-	IGDCC4	15	31985	1	42463	392	56738128	1	42463	393	56738127	1	42463	389	56738131	0	42464	389	56738131	0.941812699496196	1.98823809413443	1.98823809413443	0.158525224074468	0.617236510758036
chr15	80947328	80990828	-	MESD	15	32331	3	43497	390	56737094	0	43500	394	56737090	0	43500	390	56737094	0	43500	389	56737095	0.917689739410987	1.90069014095207	1.90069014095207	0.168001090650952	0.63753122653859
chr15	82988962	83012607	-	C15orf40	15	32377	0	23645	393	56756946	2	23643	392	56756947	0	23645	390	56756949	0	23645	389	56756950	1.12154808924173	1.78811160777695	1.78811160777695	0.181156414098397	0.63753122653859
chr15	73319858	73369958	-	HCN4	15	32127	1	50099	392	56730492	1	50099	393	56730491	0	50100	390	56730494	1	50099	388	56730496	0.776311065276708	1.41677795531723	1.41677795531723	0.233934464651593	0.725593339512568
chr15	66581189	66685794	+	LINC01169	15	32019	1	104604	392	56675987	2	104603	392	56675987	2	104603	388	56675991	0	104605	389	56675990	0.551282511229386	1.2720480613134	1.2720480613134	0.259382816361393	0.77814844908418
chr15	98038570	98294199	-	AC022523.1	15	32648	1	255628	392	56524963	1	255628	393	56524962	4	255625	386	56524969	4	255625	385	56524970	0.351431689119268	1.09660948959208	1.09660948959208	0.295011385475197	0.870449287125064
chr15	22837644	22869362	+	NIPA2	15	31111	0	31718	393	56748873	1	31717	393	56748873	1	31717	389	56748877	0	31718	389	56748877	0.827667791752772	1.05812107028032	1.05812107028032	0.303644116733352	0.870449287125064
chr15	20835371	20867314	-	POTEB2	15	31065	1	31942	392	56748649	1	31942	393	56748648	0	31943	390	56748651	0	31943	389	56748652	0.820594994457877	1.04224802285898	1.04224802285898	0.307299217059844	0.870449287125064
chr15	21846328	21878735	-	POTEB	15	31094	0	32407	393	56748184	0	32407	394	56748183	1	32406	389	56748188	1	32406	388	56748189	0.80616520954056	1.01013774772582	1.01013774772582	0.314869841184842	0.873048196012516
chr15	75842306	75901044	+	UBE2Q2	15	32223	1	58737	392	56721854	0	58738	394	56721852	1	58737	389	56721857	1	58737	388	56721858	0.617090719615659	0.938387305672222	0.938387305672222	0.332692930744347	0.881243869004194
chr15	64840947	64930920	+	AC069368.1	15	31962	1	89972	392	56690619	1	89972	393	56690618	1	89972	389	56690622	1	89972	388	56690623	0.478437572629751	0.784023559019261	0.784023559019261	0.375913410222682	0.881243869004194
chr15	55055722	55092177	+	AC025272.1	15	31788	0	36455	393	56744136	0	36455	394	56744135	1	36454	389	56744140	1	36454	388	56744141	0.688387986656327	0.762453449067834	0.762453449067834	0.382561811009405	0.881243869004194
chr15	74630557	74697024	-	EDC3	15	32170	1	66466	392	56714125	2	66465	392	56714125	0	66467	390	56714127	0	66467	389	56714128	0.493334257082373	0.622651262972795	0.622651262972795	0.430063763070192	0.920883033620516
chr15	37364019	37491853	-	AC068875.1	15	31406	1	127833	392	56652758	1	127833	393	56652757	2	127832	388	56652762	1	127833	388	56652762	0.350329204063683	0.546453908180411	0.546453908180411	0.459770256245444	0.920883033620516
chr15	90620006	90718141	-	CRTC3-AS1	15	32531	1	98134	392	56682457	1	98134	393	56682456	1	98134	389	56682460	1	98134	388	56682461	0.39145820700271	0.539151180935733	0.539151180935733	0.462784717598469	0.920883033620516
chr15	66292216	66333898	+	DIS3L	15	32002	0	41682	393	56738909	0	41682	394	56738908	1	41681	389	56738913	1	41681	388	56738914	0.554303389514966	0.514635780760727	0.514635780760727	0.473138918852724	0.920883033620516
chr15	67064601	67195169	+	SMAD3	15	32026	1	130567	392	56650024	3	130565	391	56650025	0	130568	390	56650026	1	130567	388	56650028	0.329119122645232	0.485504101503466	0.485504101503466	0.485939705883561	0.920883033620516
chr15	58588808	58750707	-	ADAM10	15	31848	0	161899	393	56618692	2	161897	392	56618693	3	161896	387	56618698	1	161898	388	56618697	0.296449460030328	0.47731423334335	0.47731423334335	0.48964138371342	0.920883033620516
chr15	52056674	52101523	-	AC023906.5	15	31761	0	44849	393	56735742	0	44849	394	56735741	0	44849	390	56735745	2	44847	387	56735748	0.481014813034768	0.396306516711775	0.396306516711775	0.529002916627411	0.9448133611824
chr15	64214098	64382420	-	AC087632.2	15	31945	0	168322	393	56612269	1	168321	393	56612269	1	168321	389	56612273	4	168318	385	56612277	0.257429529356538	0.364399925631005	0.364399925631005	0.546072725963946	0.9448133611824
chr15	93898229	93973719	+	LINC01580	15	32592	0	75490	393	56705101	0	75490	394	56705100	1	75489	389	56705105	2	75488	387	56705107	0.36587918628215	0.356252048652095	0.356252048652095	0.550595155926181	0.9448133611824
chr15	50500561	50547666	-	USP50	15	31720	1	47104	392	56733487	1	47104	393	56733486	0	47105	390	56733489	0	47105	389	56733490	0.43189665422106	0.324375498872541	0.324375498872541	0.568989919613717	0.9448133611824
chr15	52018218	52067375	+	MAPK6	15	31759	1	49156	392	56731435	1	49156	393	56731434	0	49157	390	56731437	0	49157	389	56731438	0.389219936243792	0.266952921258053	0.266952921258053	0.605383141426144	0.9448133611824
chr15	80263067	80342768	-	LINC00927	15	32315	2	79699	391	56700892	0	79701	394	56700889	0	79701	390	56700893	1	79700	388	56700895	0.311522461588283	0.262707823545497	0.262707823545497	0.608265917183169	0.9448133611824
chr15	65610404	65660995	+	SLC24A1	15	31991	1	50590	392	56730001	0	50591	394	56729999	1	50590	389	56730004	0	50591	389	56730004	0.36043993337102	0.231001761996595	0.231001761996595	0.63078202991863	0.9448133611824
chr15	66701235	66782849	+	SMAD6	15	32020	1	81613	392	56698978	0	81614	394	56698976	1	81613	389	56698981	1	81613	388	56698982	0.287769818887808	0.225862835810403	0.225862835810403	0.634608587749114	0.9448133611824
chr15	28111039	28323179	-	HERC2	15	31260	2	212138	391	56568453	2	212138	392	56568452	2	212138	388	56568456	1	212139	388	56568456	0.180078858605976	0.213113019766752	0.213113019766752	0.644338316098667	0.9448133611824
chr15	82755361	82807069	-	FSD2	15	32371	0	51708	393	56728883	1	51707	393	56728883	0	51708	390	56728886	1	51707	388	56728888	0.338581216359165	0.205236063928169	0.205236063928169	0.650527232289521	0.9448133611824
chr15	68577992	68727806	+	CORO2B	15	32046	1	149813	392	56630778	0	149814	394	56630776	2	149812	388	56630782	2	149812	387	56630783	0.19127773916165	0.171323832008056	0.171323832008056	0.678937946371274	0.963144528573203
chr15	51828652	51915725	+	TMOD3	15	31749	1	87072	392	56693519	0	87073	394	56693517	1	87072	389	56693522	1	87072	388	56693523	0.222926926315118	0.138370900560403	0.138370900560403	0.709905958720495	0.984187806407959
chr15	32640675	32697098	+	SCG5	15	31342	1	56422	392	56724169	1	56422	393	56724168	0	56423	390	56724171	0	56423	389	56724172	0.251232921851052	0.116169417276979	0.116169417276979	0.733226784057394	0.991389889279832
chr15	84815679	84873482	+	ALPK3	15	32417	0	57803	393	56722788	1	57802	393	56722788	0	57803	390	56722791	1	57802	388	56722793	0.227044581083617	0.0956131913771969	0.0956131913771969	0.757158875839947	0.999229531346821
chr15	68929524	69056733	+	NOX5	15	32052	1	127208	392	56653383	1	127208	393	56653382	2	127207	388	56653387	0	127209	389	56653386	0.131455497396283	0.0660348074670765	0.0660348074670765	0.797200089742515	0.999229531346821
chr15	95637315	95764959	+	AC015574.1	15	32608	1	127643	392	56652948	1	127643	393	56652947	2	127642	388	56652952	0	127644	389	56652951	0.128034056368834	0.0627117762342095	0.0627117762342095	0.802260094483906	0.999229531346821
chr15	60419608	60480142	-	ICE2	15	31881	1	60533	392	56720058	0	60534	394	56720056	0	60534	390	56720060	1	60533	388	56720062	0.180831530030594	0.0615594930568477	0.0615594930568477	0.804047862664585	0.999229531346821
chr15	26394036	26455217	+	LINC02248	15	31243	1	61180	392	56719411	1	61180	393	56719410	0	61181	390	56719413	0	61181	389	56719414	0.170188542570649	0.0547142611685558	0.0547142611685558	0.815054230563949	0.999229531346821
chr15	35918891	36049537	+	LINC02853	15	31391	0	130646	393	56649945	2	130644	392	56649946	2	130644	388	56649950	0	130646	389	56649949	0.104734649358279	0.0422834774581133	0.0422834774581133	0.837080358499757	0.999229531346821
chr15	81323337	81420284	+	TMC3-AS1	15	32342	0	96947	393	56683644	0	96947	394	56683643	2	96945	388	56683649	1	96946	388	56683649	0.115334279197258	0.0383464889673633	0.0383464889673633	0.844749023689348	0.999229531346821
chr15	70852238	71053657	+	LRRC49	15	32087	1	201418	392	56579173	1	201418	393	56579172	2	201417	388	56579177	2	201417	387	56579178	0.077334764314538	0.0348490088872495	0.0348490088872495	0.85191240654255	0.999229531346821
chr15	97572184	97705022	-	LINC00923	15	32641	2	132836	391	56647755	1	132837	393	56647753	0	132838	390	56647756	1	132837	388	56647758	0.0880568631927244	0.0300524972262792	0.0300524972262792	0.862371167412904	0.999229531346821
chr15	20939404	21003514	+	LINC01193	15	31068	0	64110	393	56716481	0	64110	394	56716480	1	64109	389	56716485	1	64109	388	56716486	0.123372853490025	0.0291928828955861	0.0291928828955861	0.864334440162934	0.999229531346821
chr15	78437215	78501453	+	IREB2	15	32274	2	64236	391	56716355	0	64238	394	56716352	0	64238	390	56716356	0	64238	389	56716357	0.121376003203045	0.0282738992464147	0.0282738992464147	0.86646649900047	0.999229531346821
chr15	42347102	42412317	+	AC012651.1	15	31538	1	65214	392	56715377	1	65214	393	56715376	0	65215	390	56715379	0	65215	389	56715380	0.106264092456241	0.0217789181842818	0.0217789181842818	0.882676748701879	0.999229531346821
chr15	59132433	59373871	-	MYO1E	15	31862	4	241434	389	56539157	3	241435	391	56539155	0	241438	390	56539156	0	241438	389	56539157	0.0501935249529449	0.0172692371852463	0.0172692371852463	0.895449024835746	0.999229531346821
chr15	74235325	74336141	+	CCDC33	15	32151	0	100816	393	56679775	1	100815	393	56679775	2	100814	388	56679780	0	100816	389	56679779	0.0761330881814068	0.0169247259182157	0.0169247259182157	0.896491214557876	0.999229531346821
chr15	60478151	60544452	+	RORA-AS1	15	31882	0	66301	393	56714290	0	66301	394	56714289	0	66301	390	56714293	2	66299	387	56714296	0.0897293422306648	0.0156128041126067	0.0156128041126067	0.900562178731575	0.999229531346821
chr15	83446340	83618743	+	SH3GL3	15	32390	1	172402	392	56608189	1	172402	393	56608188	2	172401	388	56608193	1	172402	388	56608193	0.0504374495196751	0.0124697994688177	0.0124697994688177	0.911086449656226	0.999229531346821
chr15	61833681	61935738	+	AC009554.1	15	31899	1	102056	392	56678535	0	102057	394	56678533	2	102055	388	56678539	0	102057	389	56678538	0.0638766950155848	0.0119620857585687	0.0119620857585687	0.912907980149882	0.999229531346821
chr15	39933114	40035591	+	EIF2AK4	15	31438	0	102477	393	56678114	1	102476	393	56678114	1	102476	389	56678118	1	102476	388	56678119	0.0597623522309777	0.0104849627023214	0.0104849627023214	0.918442273698285	0.999229531346821
chr15	72407777	72475209	-	TMEM202-AS1	15	32111	1	67431	392	56713160	0	67432	394	56713158	1	67431	389	56713163	0	67432	389	56713163	0.0727945708195656	0.0103329754711012	0.0103329754711012	0.919033502993118	0.999229531346821
chr15	64386835	64455303	+	TRIP4	15	31948	1	68467	392	56712124	0	68468	394	56712122	0	68468	390	56712126	1	68467	388	56712128	0.0575293909532389	0.00648609668132849	0.00648609668132849	0.935810721509761	0.999229531346821
chr15	53513740	53760663	-	WDR72	15	31781	2	246921	391	56533670	0	246923	394	56533667	1	246922	389	56533672	4	246919	385	56533676	0.0276325110420101	0.00527270224847598	0.00527270224847598	0.942113783000682	0.999229531346821
chr15	48823740	48964919	-	SHC4	15	31690	1	141178	392	56639413	0	141179	394	56639411	0	141179	390	56639415	3	141176	386	56639419	0.0270109162347483	0.00288493502739584	0.00288493502739584	0.957164947705716	0.999229531346821
chr15	25473582	25579806	-	LINC02250	15	31234	2	106222	391	56674369	1	106223	393	56674367	0	106224	390	56674370	0	106224	389	56674371	0.0237842928863527	0.00168049089552369	0.00168049089552369	0.967300845816133	0.999229531346821
chr15	40593019	40664342	+	KNL1	15	31474	0	71323	393	56709268	1	71322	393	56709268	1	71322	389	56709272	0	71323	389	56709272	0.0166263821813032	0.000549088792467956	0.000549088792467956	0.981305166213693	0.999229531346821
chr15	101653595	101725473	-	TARS3	15	32723	0	71878	393	56708713	1	71877	393	56708713	0	71878	390	56708716	1	71877	388	56708718	0.00886515991397438	0.000156467322085518	0.000156467322085518	0.990019769746539	0.999229531346821
chr15	75940935	76013424	-	NRG4	15	32226	0	72489	393	56708102	1	72488	393	56708102	1	72488	389	56708106	0	72489	389	56708106	0.000389738029810675	2.90667230729014e-07	2.90667230729014e-07	0.99956983202312	0.99956983202312
chr15	88802435	88875353	+	ACAN	15	32467	0	72918	393	56707673	2	72916	392	56707674	0	72918	390	56707676	0	72918	389	56707677	-0.00551856354150838	6.09828712185845e-05	-6.09828712185845e-05	0.993769260683724	0.999229531346821
chr15	76058984	76204963	+	TMEM266	15	32227	0	145979	393	56634612	2	145977	392	56634613	1	145978	389	56634616	1	145978	388	56634617	-0.00650825386346627	0.000169292390637565	-0.000169292390637565	0.989618824651855	0.999229531346821
chr15	70654553	70764558	-	UACA	15	32081	0	110005	393	56670586	2	110003	392	56670587	0	110005	390	56670589	1	110004	388	56670591	-0.0112584138092619	0.000380894489353523	-0.000380894489353523	0.984429059797743	0.999229531346821
chr15	93718541	93901599	-	LINC01579	15	32588	1	183057	392	56597534	1	183057	393	56597533	1	183057	389	56597537	2	183056	387	56597539	-0.00971949690855245	0.000472402382001746	-0.000472402382001746	0.982659488322383	0.999229531346821
chr15	46692287	46804844	+	AC073941.1	15	31658	0	112557	393	56668034	1	112556	393	56668034	1	112556	389	56668038	1	112556	388	56668039	-0.0342375422773305	0.0035501134043443	-0.0035501134043443	0.952487895258838	0.999229531346821
chr15	101303932	101490707	-	PCSK6	15	32715	1	186774	392	56593817	2	186773	392	56593817	1	186774	389	56593820	1	186774	388	56593821	-0.0298869505404603	0.00449625995679526	-0.00449625995679526	0.946538589208547	0.999229531346821
chr15	22867051	22981368	-	CYFIP1	15	31112	0	114317	393	56666274	1	114316	393	56666274	2	114315	388	56666279	0	114317	389	56666278	-0.0497842345707956	0.00754530385893304	-0.00754530385893304	0.930779846846023	0.999229531346821
chr15	52115104	52192369	-	GNB5	15	31764	1	77264	392	56703327	0	77265	394	56703325	0	77265	390	56703329	1	77264	388	56703331	-0.0635011581236172	0.00822724990575807	-0.00822724990575807	0.927727641998764	0.999229531346821
chr15	63608617	63834948	-	HERC1	15	31934	0	226331	393	56554260	2	226329	392	56554261	1	226330	389	56554264	3	226328	386	56554267	-0.0397176698004037	0.00955377450009109	-0.00955377450009109	0.922136043149388	0.999229531346821
chr15	79845149	79924106	-	ST20-MTHFS	15	32302	2	78955	391	56701636	0	78957	394	56701633	0	78957	390	56701637	0	78957	389	56701638	-0.0851934655595619	0.0149166358241928	-0.0149166358241928	0.902793148643161	0.999229531346821
chr15	80058567	80138392	+	ZFAND6	15	32311	0	79825	393	56700766	0	79825	394	56700765	2	79823	388	56700771	0	79825	389	56700770	-0.0961421808547424	0.0190674258483341	-0.0190674258483341	0.890173358880251	0.999229531346821
chr15	91098949	91292636	+	SV2B	15	32556	2	193685	391	56586906	0	193687	394	56586903	2	193685	388	56586909	1	193686	388	56586909	-0.0663481005183371	0.022430089302361	-0.022430089302361	0.880948617016373	0.999229531346821
