testIndex	chr	start	end	strand	geneName	chrInt	(Intercept)	timePointInMonths	group	V4	interaction	testStat	signedTestStat	pvalue	adjpvalue
31787	chr15	54899000	54980000	+	SIMULA80K+	15	-8.07702029612623	0.00649381695901052	-0.0134668334495757	0.343089645359041	-0.3743683372322	102.609563614848	-102.609563614848	0	0
32632	chr15	96999000	97040000	+	SIMULA40K+	15	-8.06987856937685	0.00813079719077381	-0.022746892240382	0.349453345758946	-0.3418512584779	47.6577475925342	-47.6577475925342	5.07516251246898e-12	3.99415289731309e-09
31105	chr15	22300000	22321000	-	SIMULA20K-	15	-8.06544756280903	0.00902749474774245	-0.0279133897846123	0.310917430418031	-0.350399096828389	41.1427839419139	-41.1427839419139	1.41504696848926e-10	1.11222691723256e-07
31407	chr15	37500000	37511000	-	SIMULA10K-	15	-8.06082679996207	0.0104095279957739	-0.0352891546735898	0.337958738309727	-0.301502637899097	5.97760749566714	-5.97760749566714	0.0144886437158825	1
32265	chr15	78167467	78235565	-	ACSBG1	15	-8.06048204608945	0.010737533793947	-0.0365838573383228	-0.0508814484041794	1.23396469453376	3.9358319966841	3.9358319966841	0.0472677536753114	1
31990	chr15	65578759	65612289	-	INTS14	15	-8.06057467916928	0.0106835591752645	-0.0362923112350172	0.389377703091588	-0.325163453095666	3.10578605513547	-3.10578605513547	0.0780145628200877	1
32246	chr15	77419673	77485603	+	HMG20A	15	-8.06024218019594	0.0106361287919148	-0.0367410833116906	0.000545597108324789	0.151685947936638	2.69534928610756	2.69534928610756	0.100641431976581	1
31946	chr15	64341538	64342698	+	AC087632.1	15	-8.0605557257782	0.0107112867402748	-0.0363507176297156	0.589890306271839	-0.510169346117512	2.20525932210603	-2.20525932210603	0.137540762893358	1
32403	chr15	84499377	84502381	+	AC048382.4	15	-8.06054900804207	0.0107262938987369	-0.0363461921333135	0.897814920636749	-0.954064761655438	1.94332348827629	-1.94332348827629	0.163308128876741	1
31382	chr15	34977350	34980084	+	AC114546.3	15	-8.06031207428614	0.010687695219902	-0.0367071459645957	-0.0322714299936258	0.153664836240189	1.85762242980309	1.85762242980309	0.172899456914139	1
