chr	start	end	strand	geneName	chrInt	testIndex	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	Zscore	testStat	signedTestStat	pvalue	adjpvalue
chr11	66069271	66244744	+	PACS1	11	50552	41	175432	13914	1810857066	21	175452	7240	1810863740	37	175436	14492	1810856488	3.35574245881341	473.070737680653	473.070737680653	0	0
chr11	67120268	67255062	+	KDM2A	11	50690	27	134767	13928	1810897731	14	134780	7247	1810904412	31	134763	14498	1810897161	3.30028150720295	336.403621956124	336.403621956124	0	0
chr17	75320340	75394803	-	GRB2	17	74783	22	74441	13933	1810958057	12	74451	7249	1810964741	27	74436	14502	1810957488	3.72775462394986	335.604640846839	335.604640846839	0	0
chr11	72842953	73141061	-	FCHSD2	11	51050	31	298077	13924	1810734421	10	298098	7251	1810741094	32	298076	14497	1810733848	2.52020808840807	233.563780319295	233.563780319295	0	0
chr17	81561765	81638060	-	NPLOC4	17	75297	20	76275	13935	1810956223	10	76285	7251	1810962907	16	76279	14513	1810955645	3.42072371705835	225.649861650425	225.649861650425	0	0
chr17	75941506	75980166	-	ACOX1	17	74852	16	38644	13939	1810993854	8	38652	7253	1811000540	13	38647	14516	1810993277	3.88268894552376	214.794953571167	214.794953571167	0	0
chr22	50342330	50444374	+	PPP6R2	22	88337	13	102031	13942	1810930467	10	102034	7251	1810937158	25	102019	14504	1810929905	3.17248426429257	212.51470215281	212.51470215281	0	0
chr16	89737548	89817647	-	FANCA	16	70382	16	80083	13939	1810952415	10	80089	7251	1810959103	18	80081	14511	1810951843	3.32753999592306	207.923197871307	207.923197871307	0	0
chr12	6976184	7019476	-	LPCAT3	12	53432	13	43279	13942	1810989219	9	43283	7252	1810995909	15	43277	14514	1810988647	3.76948985745154	206.602333472809	206.602333472809	0	0
chr11	67288302	67302484	+	ANKRD13D	11	50695	10	14172	13945	1811018326	5	14177	7256	1811025015	12	14170	14517	1811017754	4.5704890593666	193.328693136573	193.328693136573	0	0
chr16	89301323	89491319	-	ANKRD11	16	70332	21	189975	13934	1810842523	12	189984	7249	1810849208	21	189975	14508	1810841949	2.66872583754375	187.636012292234	187.636012292234	0	0
chr5	177133228	177295762	+	NSD1	5	28123	18	162516	13937	1810869982	12	162522	7249	1810876670	21	162513	14508	1810869411	2.76762420136483	186.635742315673	186.635742315673	0	0
chr17	42199176	42277391	-	STAT5B	17	72955	14	78201	13941	1810954297	10	78205	7251	1810960987	16	78199	14513	1810953725	3.25590810621399	183.508601174341	183.508601174341	0	0
chr1	155335267	155563693	-	ASH1L	1	5388	23	228403	13932	1810804095	10	228416	7251	1810810776	23	228403	14506	1810803521	2.52090598912408	179.266650313162	179.266650313162	0	0
chr17	81878424	81882106	-	AC145207.5	17	75352	7	3675	13948	1811028823	4	3678	7257	1811035514	8	3674	14521	1811028250	5.56847724132501	173.704660688993	173.704660688993	0	0
chr17	7856685	7886209	-	NAA38	17	71159	14	29510	13941	1811002988	6	29518	7255	1811009674	8	29516	14521	1811002408	3.87332766094684	162.041007303167	162.041007303167	0	0
chrX	154031306	154093293	-	MECP2	23	91453	10	61977	13945	1810970521	8	61979	7253	1810977213	16	61971	14513	1810969953	3.32577923231737	160.561360643478	160.561360643478	0	0
chr16	2253125	2265331	-	RNPS1	16	66794	10	12196	13945	1811020302	4	12202	7257	1811026990	8	12198	14521	1811019726	4.5155678512885	155.140043769381	155.140043769381	0	0
