chr	start	end	strand	geneName	chrInt	testIndex	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	Zscore	testStat	signedTestStat	pvalue	adjpvalue
chr8	143915152	143974529	-	PLEC	8	40807	7	59370	3912	1810983164	7	59370	3991	1810983085	7	59370	4526	1810982550	2	59375	3084	1810983992	0	59377	13955	1810973121	0	59377	7261	1810979815	0	59377	14529	1810972547	14.5648839973466	54.9558007435408	54.9558007435408	1.23234755733392e-13	6.27911889150568e-10
chr13	71439945	71867769	-	DACH1	13	58965	0	427824	3919	1810614710	0	427824	3998	1810614631	0	427824	4533	1810614096	0	427824	3086	1810615543	20	427804	13935	1810604694	18	427806	7243	1810611386	25	427799	14504	1810604125	-13.6185489202462	45.5094625735655	-45.5094625735655	1.51902934675263e-11	3.86994542384e-08
chr21	46097118	46129805	+	COL6A2	21	86382	5	32682	3914	1811009852	7	32680	3991	1811009775	4	32683	4529	1811009237	2	32685	3084	1811010682	0	32687	13955	1810999811	0	32687	7261	1811006505	0	32687	14529	1810999237	14.3194978796422	43.0050241770223	43.0050241770223	5.45994360834357e-11	1.11282052250861e-07
chr1	8025737	8122702	+	AL034417.3	1	491	4	96961	3915	1810945573	4	96961	3994	1810945494	5	96960	4528	1810944960	3	96962	3083	1810946405	0	96965	13955	1810935533	0	96965	7261	1810942227	0	96965	14529	1810934959	14.2014633555451	38.2248441006523	38.2248441006523	6.30446028715426e-10	1.16810186465901e-06
chr17	75320340	75394803	-	GRB2	17	74783	1	74462	3918	1810968072	0	74463	3998	1810967992	0	74463	4533	1810967457	1	74462	3085	1810968905	22	74441	13933	1810958057	12	74451	7249	1810964741	27	74436	14502	1810957488	-2.58631755228918	31.1055274568498	-31.1055274568498	2.44374515068202e-08	2.93141056106306e-05
chr1	1253913	1274854	-	UBE2J2	1	105	2	20939	3917	1811021595	3	20938	3995	1811021517	5	20936	4528	1811020984	2	20939	3084	1811022428	0	20941	13955	1811011557	0	20941	7261	1811018251	0	20941	14529	1811010983	13.9136739388252	28.6667865018826	28.6667865018826	8.59655560070394e-08	7.61938247013939e-05
chr19	4676563	4724806	-	DPP9	19	77932	5	48238	3914	1810994296	2	48241	3996	1810994214	3	48240	4530	1810993680	2	48241	3084	1810995126	0	48243	13955	1810984255	0	48243	7261	1810990949	0	48243	14529	1810983681	13.9135579618368	28.6665304244962	28.6665304244962	8.59769245797892e-08	7.61938247013939e-05
chr5	9040643	9547075	-	SEMA5A	5	24222	1	506431	3918	1810536103	3	506429	3995	1810536026	6	506426	4527	1810535494	2	506430	3084	1810536937	0	506432	13955	1810526066	0	506432	7261	1810532760	0	506432	14529	1810525492	13.913477490307	28.6663586082868	28.6663586082868	8.59845532552583e-08	7.61938247013939e-05
chr11	72842953	73141061	-	FCHSD2	11	51050	2	298106	3917	1810744428	1	298107	3997	1810744348	1	298107	4532	1810743813	2	298106	3084	1810745261	31	298077	13924	1810734421	10	298098	7251	1810741094	32	298076	14497	1810733848	-1.66717985939793	24.5898981217761	-24.5898981217761	7.09225551176473e-07	0.000470578017499032
chr9	8528151	10613723	-	PTPRD	9	41140	0	2085572	3919	1808956962	0	2085572	3998	1808956883	0	2085572	4533	1808956348	1	2085571	3085	1808957796	17	2085555	13938	1808946943	8	2085564	7253	1808953628	19	2085553	14510	1808946371	-2.95210909983649	24.5722233918496	-24.5722233918496	7.15760686054168e-07	0.000470578017499032
chr9	22703515	23439700	-	AL391117.1	9	41353	2	736183	3917	1810306351	1	736184	3997	1810306271	1	736184	4532	1810305736	6	736179	3080	1810307188	0	736185	13955	1810296313	0	736185	7261	1810303007	0	736185	14529	1810295739	13.7310237916632	23.8877160663251	23.8877160663251	1.02121322220761e-06	0.000578148782234842
chr3	28575174	30004034	+	RBMS3	3	15468	5	1428855	3914	1809613679	1	1428859	3997	1809613596	3	1428857	4530	1809613063	1	1428859	3085	1809614508	0	1428860	13955	1809603638	0	1428860	7261	1809610332	0	1428860	14529	1809603064	13.7310212703231	23.8877151897177	23.8877151897177	1.02121368728003e-06	0.000578148782234842
chr12	38652202	38906591	-	CPNE8	12	54334	0	254389	3919	1810788145	0	254389	3998	1810788066	0	254389	4533	1810787531	0	254389	3086	1810788978	13	254376	13942	1810778122	5	254384	7256	1810784808	12	254377	14517	1810777547	-12.8756794423901	21.6626051233616	-21.6626051233616	3.2506682621225e-06	0.00150342131598445
chr7	100107077	100115558	-	TAF6	7	35468	1	8480	3918	1811034054	1	8480	3997	1811033975	5	8476	4528	1811033444	2	8479	3084	1811034888	0	8481	13955	1811024017	0	8481	7261	1811030711	0	8481	14529	1811023443	13.6260112631189	21.4991495420691	21.4991495420691	3.53985617873587e-06	0.00150342131598445
chr19	2327692	2353933	+	SPPL2B	19	77716	1	26240	3918	1811016294	0	26241	3998	1811016214	3	26238	4530	1811015682	5	26236	3081	1811017131	0	26241	13955	1811006257	0	26241	7261	1811012951	0	26241	14529	1811005683	13.6257286618542	21.4987289372366	21.4987289372366	3.54063267693494e-06	0.00150342131598445
chr12	49002277	49019779	-	PRKAG1	12	54669	2	17500	3917	1811025034	6	17496	3992	1811024959	5	17497	4528	1811024423	0	17502	3086	1811025865	1	17501	13954	1811014997	0	17502	7261	1811021690	1	17501	14528	1811014423	2.7059857389616	20.7183698439039	20.7183698439039	5.32031482647355e-06	0.0019363346183007
