testIndex	chr	start	end	strand	geneName	chrInt	(Intercept)	time	group	V4	interaction	testStat	signedTestStat	pvalue	adjpvalue
30003	chr6	35573584	35689915	-	FKBP5	6	-8.4725013813871	0.268903014819769	-0.257419624911659	0.995846645118203	-0.708212056511241	114.166475873935	-114.166475873935	0	0
77588	chr19	1406568	1435684	+	DAZAP1	19	-8.47176322844864	0.27294961121749	-0.265005657724131	0.918498885981283	-1.05602900050789	56.3096089257742	-56.3096089257742	6.19504447740837e-14	3.26633720071357e-10
73803	chr17	50962173	51121865	-	SPAG9	17	-8.4719994799832	0.271963989426922	-0.263324914854229	0.849916597057301	-0.633157202554218	43.1005559826008	-43.1005559826008	5.19975174029241e-11	1.82771273671278e-07
91447	chrX	154021572	154098717	-	MECP2	23	-8.47190632176239	0.273071987558692	-0.265218002783426	0.827692839070117	-0.806777792538892	41.3770653693791	-41.3770653693791	1.25521482097213e-10	3.30906007178777e-07
77793	chr19	3358682	3456600	+	NFIC	19	-8.4719833561904	0.273178140066761	-0.265248344496707	0.760515406517176	-0.844365785348315	31.151463846134	-31.151463846134	2.38659318974044e-08	5.03332503716258e-05
46296	chr10	87862624	87971930	+	PTEN	10	-8.47191042033524	0.273053807184462	-0.265197588703158	0.832150249686914	-0.775640896512903	29.6613073087574	-29.6613073087574	5.14516254046527e-08	9.0426231648677e-05
37123	chr7	152134924	152437003	-	KMT2C	7	-8.4718374937115	0.273561325410587	-0.26598137404291	0.543807967839453	-0.80319914647248	26.1667821575102	-26.1667821575102	3.13163532550398e-07	0.000471758492963421
77539	chr19	1204777	1228431	+	STK11	19	-8.47178318117258	0.273480205818782	-0.265994419770456	0.751294784540261	-0.987597260885537	25.1478559809257	-25.1478559809257	5.30986545621559e-07	0.000699906640447417
24140	chr5	5421676	5490220	+	ICE1	5	-8.47167001956872	0.273584694414016	-0.266310970881456	0.710774041826352	-0.965010076876352	21.4760644299859	-21.4760644299859	3.58272841194385e-06	0.00419776345599421
18073	chr3	129167826	129184896	-	CNBP	3	-8.47147505850242	0.273801267301244	-0.266885658011679	0.605864889325214	-0.695949966983394	18.7197793801279	-18.7197793801279	1.51403828765329e-05	0.0122629936271028
47477	chr10	126904408	127452517	+	DOCK1	10	-8.47162769644534	0.273629221930704	-0.266465795042198	0.681308556756987	-0.780906610863362	18.5813115982455	-18.5813115982455	1.62808829567984e-05	0.0122629936271028
77537	chr19	1107637	1175268	-	SBNO2	19	-8.47161047504761	0.273820502818664	-0.266743778670223	0.531130845425868	-0.62466186476174	15.9652483747595	-15.9652483747595	6.45159877572521e-05	0.0442730301638384
14881	chr3	8877074	8964472	-	RAD18	3	-8.47169482124831	0.27246468698919	-0.264224211477057	1.01390058568469	-1.24757849189468	15.7992052952504	-15.7992052952504	7.04320851760976e-05	0.0442730301638384
28120	chr5	177132078	177300210	+	NSD1	5	-8.47180621379285	0.273719038540865	-0.26623736502897	0.37940704680118	-0.609392155952704	15.7136278972866	-15.7136278972866	7.36913208133627e-05	0.0442730301638384
15982	chr3	45593323	45673898	+	LIMD1	3	-8.47146962315348	0.273471829614627	-0.266287384579467	0.57428693087565	-0.795159392089802	15.665944621458	-15.665944621458	7.55727399667228e-05	0.0442730301638384
19137	chr3	171600403	171811483	-	PLD1	3	-8.4714740034045	0.273677143214677	-0.266719373176606	0.660767543646701	-0.787102688702713	15.2349497891919	-15.2349497891919	9.49302237183147e-05	0.0526862741636647
12480	chr2	164680185	164843168	-	COBLL1	2	-8.47155555684209	0.273701500260177	-0.266676586239196	0.654919733499317	-0.917985466110262	14.7599039784327	-14.7599039784327	0.000122104462145223	0.0643795776660687
64687	chr15	60488283	61230302	-	RORA	15	-8.47090308945371	0.273904380310315	-0.268788383972797	-0.160634132633157	0.796012359291876	14.2676699460717	14.2676699460717	0.000158565130017552	0.0760306060481579
55027	chr12	53379175	53416446	+	SP1	12	-8.47172459478576	0.273496870134528	-0.266202737373822	0.682031696546406	-0.638794929450449	14.2669901328372	-14.2669901328372	0.000158622411859599	0.0760306060481579
28157	chr5	177483393	177498561	-	PDLIM7	5	-8.47161009882883	0.273677324347982	-0.266585538906757	0.657621914122122	-0.798481447830417	14.0319980009481	-14.0319980009481	0.00017972609064687	0.0824005054726628
51371	chr11	81821273	82404745	-	MIR4300HG	11	-8.47146847764245	0.273774023100072	-0.266901077880317	0.615623496200429	-0.878715947504109	12.5959614927269	-12.5959614927269	0.000386581135500941	0.163059922954297
69281	chr16	67561466	67639176	+	CTCF	16	-8.47154573564262	0.273530757838376	-0.266418889715177	0.544589976713716	-0.548717189815025	12.3726041472655	-12.3726041472655	0.000435679508099973	0.176701554342855
73460	chr17	47322954	47441312	+	EFCAB13	17	-8.47161124510162	0.272903226417701	-0.26513829010181	0.920506892075758	-1.15420808647523	12.2590323631703	-12.2590323631703	0.00046301153905326	0.180831728863579
25583	chr5	79611419	79686648	+	TENT2	5	-8.47157373865532	0.273442696917454	-0.266266066043702	0.698754108376199	-0.595377345607243	11.6399482347188	-11.6399482347188	0.000645503991423269	0.243101413912799
868	chr1	16366087	16395406	+	SZRD1	1	-8.47144227681754	0.273891384521086	-0.267119808352373	0.541035279247696	-0.795355879116113	11.0529256246227	-11.0529256246227	0.000885473608358778	0.321976524142873
88367	chr22	50540107	50543011	+	U62317.4	22	-8.47145309299327	0.27384057894146	-0.267042573729016	0.574916241481869	-0.838033211560432	10.752098967816	-10.752098967816	0.00104161115761525	0.366126321901761
37993	chr8	23296896	23405120	-	LOXL2	8	-8.47162377548991	0.274313329067267	-0.267678893196403	1.45876308508907	-1.71686167978004	9.86573976649015	-9.86573976649015	0.00168384957918188	0.555901462318754
31885	chr6	128321040	128521587	-	PTPRK	6	-8.47094978287292	0.27395398965712	-0.268536340188115	-0.168466928102237	0.765332180382881	9.83333200356356	9.83333200356356	0.0017137761914201	0.555901462318754
35987	chr7	116238259	116500465	-	AC002066.1	7	-8.47147837910952	0.27405467738459	-0.267298755153166	0.428749988641197	-0.673830469656619	9.8057579863962	-9.8057579863962	0.00173966318222085	0.555901462318754
37995	chr8	23385782	23458695	-	ENTPD4	8	-8.47159132872914	0.274280290680769	-0.267678203542251	1.45876367671481	-1.70845559033632	9.56784440535193	-9.56784440535193	0.00198015152804498	0.614138172448069
74892	chr17	76309477	76354916	-	PRPSAP1	17	-8.47146115267126	0.274048765975424	-0.267335448976896	0.472271181647946	-0.631044035207828	9.36900375136247	-9.36900375136247	0.0022068543074919	0.646424407569503
52402	chr11	118997137	119015793	+	CCDC84	11	-8.47158915847582	0.274278080789405	-0.267735605331886	1.45876371635285	-1.72204182258422	9.07131959330945	-9.07131959330945	0.00259649629608782	0.74000144438503
13435	chr2	201789460	201893543	+	CDK15	2	-8.47167765090277	0.273609781766709	-0.26640248374523	0.633092378018609	-0.720902723908965	8.93030221716253	-8.93030221716253	0.00280477933241108	0.778326264744074
28141	chr5	177425675	177442891	+	GRK6	5	-8.47162021947662	0.273324213211318	-0.265926759154652	0.79908772672183	-1.032811186201	8.67081253770812	-8.67081253770812	0.00323346987105699	0.87389124717841
67076	chr16	3725053	3881713	-	CREBBP	16	-8.47188494891575	0.273119593795332	-0.265330051619328	0.863270766316465	-0.765860072727449	8.62549538797975	-8.62549538797975	0.00331490278683133	0.87389124717841
67552	chr16	15948576	16143074	+	ABCC1	16	-8.47157432406643	0.2736946217888	-0.26663909504992	0.590203585927292	-0.776107572202744	8.530794418195	-8.530794418195	0.0034918725170946	0.898092577872257
30301	chr6	42563061	42693504	+	UBR2	6	-8.47170432760179	0.274311594735112	-0.267301952008869	0.563714617981162	-0.738788541495541	8.33738441527021	-8.33738441527021	0.00388374712761874	0.97509793954142
16101	chr3	47850695	48089839	-	MAP4	3	-8.47161492330718	0.273714111254124	-0.266684100764525	0.416807291751155	-0.429091985904617	8.22083009219932	-8.22083009219932	0.00414122528393479	1
21762	chr4	82818508	82892153	-	SEC31A	4	-8.4714773957091	0.273664476482994	-0.266843854502013	0.637705471433216	-0.482286624685113	8.14552433352583	-8.14552433352583	0.00431675716052438	1
70570	chr17	2061404	2238037	-	SMG6	17	-8.47157214407624	0.274085231018772	-0.267271388359399	0.392648230389926	-0.539748944807611	8.1033162902495	-8.1033162902495	0.00441843447053847	1
77688	chr19	2100987	2152557	-	AP3D1	19	-8.47160957763619	0.274104565964527	-0.267231569284993	0.335350053459552	-0.534365774320617	7.73153108544284	-7.73153108544284	0.00542647147917585	1
76030	chr18	20946905	21112813	-	ROCK1	18	-8.47140762942576	0.27400096248338	-0.267356674614971	0.446800774506078	-0.683215452216649	7.41436847683508	-7.41436847683508	0.00647050222619172	1
