testIndex	chr	start	end	strand	geneName	chrInt	(Intercept)	time	interaction	testStat	signedTestStat	pvalue	adjpvalue
33403	chr7	17131189	17346150	+	AHR	7	-8.36675102272948	0.0649723262987396	0.761103548102859	66.8188667027807	66.8188667027807	3.33066907387547e-16	6.4082072981364e-13
26747	chr5	136027987	136063818	+	TGFBI	5	-8.3662627081425	0.0646881377172204	0.662456069119135	62.5335253157091	62.5335253157091	2.66453525910038e-15	2.56328291925456e-12
33415	chr7	17298294	17467234	+	AC019117.4	7	-8.36708039679524	0.0651285314654452	0.699707638412642	58.687351662551	58.687351662551	1.84297022087776e-14	1.1819582349896e-11
78784	chr19	13794459	13832230	+	ZSWIM4	19	-8.36665865060125	0.06509825114629	0.798054660289278	57.836537898982	57.836537898982	2.85327317328665e-14	1.37242439635088e-11
56043	chr12	78052180	78092737	-	AC073571.1	12	-8.36647692713131	0.0647932717656906	0.625395660661508	57.1124921255942	57.1124921255942	4.11892742135933e-14	1.58496327173907e-11
34597	chr7	66627957	66811189	+	AC027644.4	7	-8.3660782939033	0.0644625257099127	0.523907645481744	54.9093687880641	54.9093687880641	1.2623235789988e-13	4.04785094332283e-11
71159	chr17	7856685	7886209	-	NAA38	17	-8.36657324017825	0.0651227760908789	0.776842966546001	51.0992539599265	51.0992539599265	8.78075390176036e-13	2.41345292956956e-10
64687	chr15	60488283	61230302	-	RORA	15	-8.36684631186951	0.0651515489354048	0.703156656427296	50.6954060014487	50.6954060014487	1.0786926907258e-12	2.59425592119555e-10
56040	chr12	77829893	78213010	+	NAV3	12	-8.36654150531765	0.0648608322973301	0.49765307756513	41.6052646704211	41.6052646704211	1.11692100013272e-10	2.38772889361706e-08
86419	chr21	46323155	46445769	+	PCNT	21	-8.3670381903123	0.0653612684110001	0.633553999127747	36.489571874451	36.489571874451	1.53485202325498e-09	2.92406343663484e-07
31885	chr6	128321040	128521587	-	PTPRK	6	-8.36678463390849	0.0653004307933171	0.671359841825951	36.3230356798085	36.3230356798085	1.67176184007189e-09	2.92406343663484e-07
8897	chr2	17663811	17754810	-	SMC6	2	-8.36697293524134	0.065470862019427	0.607312764985764	26.6097500833803	26.6097500833803	2.48984065254199e-07	3.68496416576214e-05
12625	chr2	169826453	170084131	+	UBR3	2	-8.36698245979244	0.0654875126737513	0.598678282233242	25.4037245861173	25.4037245861173	4.65019425299751e-07	6.390695530548e-05
47737	chr11	575469	611964	+	PHRF1	11	-8.366822242929	0.0652346001528868	0.404904061970599	23.0863089557561	23.0863089557561	1.54889683001702e-06	0.00019867183339685
45693	chr10	69268983	69401884	+	HK1	10	-8.36701985833241	0.0655538106979514	0.561914607708665	20.7588594214594	20.7588594214594	5.20900367495525e-06	0.000626382691913369
30500	chr6	45327316	45551082	+	RUNX2	6	-8.36702878612113	0.0653387302579973	0.360993110282436	19.6117092060476	19.6117092060476	9.48859036853378e-06	0.00107388516876818
30494	chr6	44826725	45378934	-	SUPT3H	6	-8.36680797875623	0.0652316857764654	0.349256859115264	19.4271933141763	19.4271933141763	1.04508362405165e-05	0.00111707827370854
30003	chr6	35573584	35689915	-	FKBP5	6	-8.36680343018183	0.0652695481534826	0.359639136236333	18.8297198504752	18.8297198504752	1.42922645074428e-05	0.001374915845616
47626	chr10	133379025	133420271	+	AL360181.3	10	-8.36687237607704	0.0654418519275486	0.444109318034729	17.9294714933949	17.9294714933949	2.2924363932364e-05	0.00210030839075563
491	chr1	8025737	8122702	+	AL034417.3	1	-8.3671398474513	0.0654148837046136	0.344789659552938	17.6946438229179	17.6946438229179	2.59355869035582e-05	0.00226818496374755
83266	chr20	14322984	14338612	-	FLRT3	20	-8.36704709837357	0.0656031826822775	0.531660559447039	17.4768697727022	17.4768697727022	2.90824518036636e-05	0.00243281031609778
52460	chr11	119205297	119308147	+	CBL	11	-8.36728880705358	0.0656993412483278	0.513585249076926	16.993139891285	16.993139891285	3.75151198332979e-05	0.00300746210663605
72941	chr17	42119673	42155916	-	AC099811.2	17	-8.36690792187238	0.0654948014886935	0.420739241753242	15.3341490497151	15.3341490497151	9.00734780913126e-05	0.00693205487390742
40978	chr9	503694	746103	+	KANK1	9	-8.36692370696558	0.0654879824093623	0.403144310889544	15.058674252653	15.058674252653	0.000104220187337134	0.00771229386294792
57328	chr12	121625549	121642040	+	ORAI1	12	-8.36685267288238	0.0654819861496048	0.418484435057637	14.8369117097382	14.8369117097382	0.000117218677893938	0.00835291615807171
40843	chr8	144290590	144314668	+	HSF1	8	-8.36720786807879	0.0655222262986974	0.32210143419919	14.1232091238453	14.1232091238453	0.000171218153315222	0.0117651331063746
13835	chr2	217319166	217757593	-	DIRC3	2	-8.36700222202389	0.0656324945537415	0.497049922361496	13.8547260169062	13.8547260169062	0.000197499411003887	0.0126662955759741
88657	chrX	13333179	13403019	+	LINC01203	23	-8.36700222202411	0.0656324945538324	0.497049922361466	13.8547260143951	13.8547260143951	0.000197499411267787	0.0126662955759741
19651	chr3	188152283	188712842	+	LPP	3	-8.36714229822435	0.0657095179859272	0.518793452799306	13.7144897219423	13.7144897219423	0.000212806302259505	0.0127949789233527
27585	chr5	154711842	154817605	+	LARP1	5	-8.36708217448713	0.065668472283279	0.486941621016277	13.3987876523324	13.3987876523324	0.000251786985359326	0.0142481811718116
57826	chr12	132686586	132704985	+	PXMP2	12	-8.36708217448713	0.0656684722832782	0.486941621016276	13.3987876522933	13.3987876522933	0.000251786985364655	0.0142481811718116
75277	chr17	81394474	81466331	+	BAHCC1	17	-8.36706160724603	0.0655756282495132	0.376812731097806	12.8971874115432	12.8971874115432	0.000329076274255158	0.0180897929047692
65320	chr15	74781056	74803198	+	CSK	15	-8.36709069506017	0.0656846870293826	0.474845058575996	12.4369338722681	12.4369338722681	0.000420926242558628	0.0224961691856333
146	chr1	1386502	1391943	-	CCNL2	1	-8.36739360017007	0.0657707140726837	0.398596570734211	11.5902674247054	11.5902674247054	0.000662978775937129	0.0344748963487307
83263	chr20	13994368	16053197	+	MACROD2	20	-8.36728322143316	0.0657325818875408	0.40251702229144	11.4187999842679	11.4187999842679	0.000727046397653308	0.0358676223110622
77935	chr19	4694316	4724750	-	DPP9	19	-8.36728322144168	0.0657325819105113	0.402517016695473	11.4187999828782	11.4187999828782	0.000727046398197206	0.0358676223110622
70393	chr16	89872640	89890633	+	TCF25	16	-8.36790245173109	0.0662206664748444	1.38035238624697	11.3650430872885	11.3650430872885	0.0007483934101854	0.0359977230299177
58934	chr13	66302833	67231336	-	PCDH9	13	-8.36703508927079	0.0656842725846853	0.459692719847271	10.9825514464055	10.9825514464055	0.000919737183165403	0.0411528916374474
2396	chr1	44850521	44987595	-	EIF2B3	1	-8.36723472586788	0.0657488070347411	0.412383376595978	10.3701074242617	10.3701074242617	0.00128072095478204	0.0535675461003375
57828	chr12	132687048	132714912	+	AC135586.2	12	-8.36723472585755	0.0657488070136479	0.412383376703635	10.3701074215533	10.3701074215533	0.00128072095666087	0.0535675461003375
81515	chr19	49590181	49626439	+	PRR12	19	-8.36714894109231	0.0655816100372437	0.286599705679613	10.2522663736263	10.2522663736263	0.00136516778113427	0.0558847406574965
3486	chr1	85318480	85579250	-	DDAH1	1	-8.3672298556211	0.0657331376029143	0.388347408953451	10.1447427445446	10.1447427445446	0.00144713357923276	0.0580059376342466
23691	chr4	176064833	176179769	+	WDR17	4	-8.36724026553012	0.0657773192148796	0.429318710727372	9.84564589771981	9.84564589771981	0.00170234208632669	0.066842983144746
66635	chr16	1611359	1677908	+	CRAMP1	16	-8.36704172312129	0.0655693308911287	0.289522223943974	9.53262359628843	9.53262359628843	0.00201851363001693	0.0776724044830513
50394	chr11	65180193	65212006	+	CAPN1	11	-8.36712358690657	0.065722898636818	0.405132010905262	9.3878817415698	9.3878817415698	0.00218424436275955	0.0824016892931249
12367	chr2	158456096	158680836	+	PKP4	2	-8.36709834534863	0.0656542129181436	0.33415037674935	9.33824675320921	9.33824675320921	0.00224420128449665	0.083035447526376
77489	chr19	867629	894218	-	MED16	19	-8.36718126524285	0.0657357396417248	0.373094413170716	8.90985110115889	8.90985110115889	0.00283636391462927	0.101058595773087
29762	chr6	32254337	32391931	+	TSBP1-AS1	6	-8.36695853848124	0.0656279166712333	0.345603834382445	8.70391508392186	8.70391508392186	0.00317527339678492	0.111076836643894
