chr	start	end	strand	geneName	chrInt	testIndex	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	Zscore	testStat	signedTestStat	pvalue	adjpvalue
chr6	32261701	32407763	+	TSBP1-AS1	6	29763	32	146030	3548	1810896843	2	146060	218	1810900173	7	146055	1205	1810899186	20	146042	3115	1810897276	8	146054	1539	1810898852	3	146059	807	1810899584	4.44945209385564	497.911254599108	497.911254599108	0	0
chr11	65421797	65445540	+	NEAT1	11	50421	14	23729	3566	1811019144	3	23740	217	1811022493	6	23737	1206	1811021504	9	23734	3126	1811019584	6	23737	1541	1811021169	4	23739	806	1811021904	5.72469804350623	396.964021199907	396.964021199907	0	0
chr11	66069271	66244744	+	PACS1	11	50552	23	175450	3557	1810867423	1	175472	219	1810870761	6	175467	1206	1810869774	21	175452	3114	1810867866	8	175465	1539	1810869441	4	175469	806	1810870174	4.13155629663771	396.226918799803	396.226918799803	0	0
chr11	67120268	67255062	+	KDM2A	11	50690	29	134765	3551	1810908108	1	134793	219	1810911440	7	134787	1205	1810910454	16	134778	3119	1810908540	4	134790	1543	1810910116	2	134792	808	1810910851	4.3293546308872	394.088728401635	394.088728401635	0	0
chr6	32292955	32372912	-	TSBP1	6	29771	22	79935	3558	1810962938	1	79956	219	1810966277	6	79951	1206	1810965290	15	79942	3120	1810963376	6	79951	1541	1810964955	2	79955	808	1810965688	4.72473043958391	388.033169078873	388.033169078873	0	0
chr1	20941241	21175737	-	EIF4G3	1	1045	23	234473	3557	1810808400	0	234496	220	1810811737	7	234489	1205	1810810752	21	234475	3114	1810808843	3	234493	1544	1810810413	6	234490	804	1810811153	3.79246840272328	337.468838040601	337.468838040601	0	0
chr17	75946576	75980134	-	ACOX1	17	74854	12	33546	3568	1811009327	1	33557	219	1811012676	5	33553	1207	1811011688	8	33550	3127	1811009768	6	33552	1541	1811011354	3	33555	807	1811012088	5.19554220725021	293.951675670629	293.951675670629	0	0
chr17	44395280	44504406	-	GPATCH8	17	73229	16	109110	3564	1810933763	1	109125	219	1810937108	4	109122	1208	1810936119	7	109119	3128	1810934199	9	109117	1538	1810935789	4	109122	806	1810936521	4.17491138068472	261.4445135438	261.4445135438	0	0
chr17	77958239	78106037	+	TNRC6C	17	75036	13	147785	3567	1810895088	0	147798	220	1810898435	6	147792	1206	1810897449	12	147786	3123	1810895532	7	147791	1540	1810897115	6	147792	804	1810897851	3.94243253180128	260.46064068249	260.46064068249	0	0
chr11	72838761	73142913	-	FCHSD2	11	51049	16	304136	3564	1810738737	1	304151	219	1810742082	6	304146	1206	1810741095	14	304138	3121	1810739180	10	304142	1537	1810740764	5	304147	805	1810741496	3.388454181018	251.66728221497	251.66728221497	0	0
chr12	54230941	54281122	-	CBX5	12	55139	10	50171	3570	1810992702	1	50180	219	1810996053	3	50178	1209	1810995063	9	50172	3126	1810993146	3	50178	1544	1810994728	4	50177	806	1810995466	4.63843794066728	218.798274688364	218.798274688364	0	0
