chr	start	end	strand	geneName	chrInt	testIndex	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	Zscore	testStat	signedTestStat	pvalue	adjpvalue
chr15	54899000	54980000	+	SIMULA80K+	15	31787	5	80995	395	56699589	3	80997	397	56699587	5	80995	395	56699589	7	80993	393	56699591	2.18168696414773	51.5823228744921	51.5823228744921	6.86561918428197e-13	1.24267707235504e-10
chr15	96999000	97040000	+	SIMULA40K+	15	32632	4	40996	396	56739588	2	40998	398	56739586	2	40998	398	56739586	4	40996	396	56739588	2.34740454418157	34.5578532248765	34.5578532248765	4.13768841411866e-09	3.74460801477738e-07
chr15	45152663	45168526	-	AC051619.5	15	31625	0	15863	400	56764721	1	15862	399	56764722	1	15862	399	56764722	1	15862	399	56764722	1.9054583837531	6.32109395698353	6.32109395698353	0.0119310000874318	0.308501573689307
chr15	75639084	75649706	-	IMP3	15	32210	0	10622	400	56769962	0	10622	400	56769962	1	10621	399	56769963	1	10621	399	56769963	1.90052144103688	4.19817050908023	4.19817050908023	0.0404676151653275	0.498381998038215
chr15	101602785	101615531	-	AC090164.5	15	32720	1	12745	399	56767839	0	12746	400	56767838	1	12745	399	56767839	0	12746	400	56767838	1.71818600683332	3.58857161227206	3.58857161227206	0.0581782291743146	0.521830438408723
chr15	73683268	73713677	+	CD276	15	32132	0	30409	400	56750175	3	30406	397	56750178	0	30409	400	56750175	0	30409	400	56750175	1.25443021951095	3.23509717380512	3.23509717380512	0.0720760274045198	0.521830438408723
chr15	55355247	55499360	-	DNAAF4-CCPG1	15	31798	2	144111	398	56636473	1	144112	399	56636472	0	144113	400	56636471	5	144108	395	56636476	0.680519795230403	2.98018578714982	2.98018578714982	0.0842895964917516	0.526083343620933
chr15	55355238	55409259	-	CCPG1	15	31797	1	54020	399	56726564	0	54021	400	56726563	0	54021	400	56726563	3	54018	397	56726566	0.967682115607564	2.77728183224099	2.77728183224099	0.0956103106834569	0.558240846248571
chr15	96045340	96065357	-	AC024337.1	15	32611	1	20016	399	56760568	1	20016	399	56760568	0	20017	400	56760567	0	20017	400	56760567	1.26667925024397	2.19246374951763	2.19246374951763	0.138687320837481	0.674818367209472
chr15	88585565	88605603	-	LINC01586	15	32460	0	20038	400	56760546	1	20037	399	56760547	0	20038	400	56760546	1	20037	399	56760547	1.26563029576162	2.18945194312983	2.18945194312983	0.138958752031853	0.674818367209472
chr15	48312352	48332856	-	AC023355.2	15	31678	0	20504	400	56760080	0	20504	400	56760080	1	20503	399	56760081	1	20503	399	56760081	1.24263200045693	2.12373171276704	2.12373171276704	0.145032789483588	0.674818367209472
chr15	22300000	22321000	-	SIMULA20K-	15	31105	0	21000	400	56759584	0	21000	400	56759584	1	20999	399	56759585	1	20999	399	56759585	1.21872023724538	2.05604911150294	2.05604911150294	0.151602802145989	0.674818367209472
chr15	45167213	45188956	-	SHF	15	31626	0	21743	400	56758841	0	21743	400	56758841	0	21743	400	56758841	2	21741	398	56758843	1.1839369042939	1.95880649629544	1.95880649629544	0.161641019066477	0.674818367209472
chr15	65381483	65423947	-	IGDCC4	15	31985	1	42463	399	56738121	1	42463	399	56738121	0	42464	400	56738120	1	42463	399	56738121	0.920292731896183	1.91011430528306	1.91011430528306	0.166950561997765	0.674818367209472
chr15	93229033	93251480	+	AC091078.1	15	32584	1	22446	399	56758138	0	22447	400	56758137	1	22446	399	56758138	0	22447	400	56758137	1.152058671315	1.8709857958238	1.8709857958238	0.171362217792874	0.674818367209472
chr15	55826921	55918131	-	NEDD4	15	31806	2	91208	398	56689376	1	91209	399	56689375	1	91209	399	56689375	1	91209	399	56689375	0.667000148526632	1.79873878535727	1.79873878535727	0.179865044393027	0.680350167949556
chr15	100860923	100885329	+	AC015712.5	15	32700	2	24404	398	56756180	0	24406	400	56756178	0	24406	400	56756178	0	24406	400	56756178	1.06835033914032	1.64660518363235	1.64660518363235	0.199421614254887	0.681043626040275
chr15	78921057	78946046	-	CTSH	15	32289	0	24989	400	56755595	1	24988	399	56755596	0	24989	400	56755595	1	24988	399	56755596	1.04473286477662	1.58500671548245	1.58500671548245	0.208040988009892	0.684643978723462
chr15	75022586	75049490	+	PPCDC	15	32187	0	26904	400	56753680	1	26903	399	56753681	0	26904	400	56753680	1	26903	399	56753681	0.970858452408403	1.3974851175517	1.3974851175517	0.237145098112929	0.690222325195846
chr15	43276270	43303255	-	TGM7	15	31564	0	26985	400	56753599	1	26984	399	56753600	0	26985	400	56753599	1	26984	399	56753600	0.967850787768733	1.39002169964078	1.39002169964078	0.238401435113759	0.690222325195846
chr15	43745437	43773278	+	PDIA3	15	31584	1	27840	399	56752744	1	27840	399	56752744	0	27841	400	56752743	0	27841	400	56752743	0.936606536922796	1.31331075828348	1.31331075828348	0.251796098334037	0.690222325195846
chr15	100892342	100920391	-	AC015712.2	15	32703	0	28049	400	56752535	0	28049	400	56752535	0	28049	400	56752535	2	28047	398	56752537	0.92915951236706	1.29525095434656	1.29525095434656	0.25508251699415	0.690222325195846
chr15	44562695	44664662	-	SPG11	15	31603	2	101965	398	56678619	1	101966	399	56678618	1	101966	399	56678618	1	101966	399	56678618	0.555324240029266	1.28925317047833	1.28925317047833	0.256185627441249	0.690222325195846
chr15	36641185	36670097	-	AC013640.1	15	31397	1	28911	399	56751673	0	28912	400	56751672	1	28911	399	56751673	0	28912	400	56751672	0.898840020642275	1.22263460239628	1.22263460239628	0.268844229276773	0.690222325195846
