testIndex	chr	start	end	strand	geneName	chrInt	(Intercept)	timePointInMonths	group	V4	interaction	testStat	signedTestStat	pvalue	adjpvalue
31787	chr15	54899000	54980000	+	SIMULA80K+	15	-8.08213194034105	0.00599249270793356	-0.011920174627021	0.32459743840038	-0.358534869153198	61.6680662738609	-61.6680662738609	4.10782519111308e-15	3.19588799868598e-12
32632	chr15	96999000	97040000	+	SIMULA40K+	15	-8.08196222035363	0.00609852704039637	-0.0124068886195109	0.326132747293287	-0.357087308898607	47.9353735816903	-47.9353735816903	4.40503189480523e-12	1.71355740707924e-09
31105	chr15	22300000	22321000	-	SIMULA20K-	15	-8.07988914133374	0.00736876647857754	-0.0178712252528232	0.378376081848421	-0.367375956304559	10.5241445017227	-10.5241445017227	0.00117824943554834	0.305559353618869
31741	chr15	51447710	51623833	-	DMXL2	15	-8.07842744394787	0.00780300301527115	-0.0214251666200913	-0.0136487908183084	0.0396454684177954	2.4582412149166	2.4582412149166	0.116909622454182	1
32039	chr15	68190705	68207110	-	CALML4	15	-8.07901985812212	0.00786856136953462	-0.0202279695896393	-0.0646754188704199	0.243086284652649	2.35357985496557	2.35357985496557	0.124995670301443	1
31397	chr15	36641185	36670097	-	AC013640.1	15	-8.07936192078934	0.00784605881504419	-0.0195345605518133	0.086029272117717	-0.113482171705045	2.23191888770543	-2.23191888770543	0.135185863992348	1
32028	chr15	67200666	67255661	-	AAGAB	15	-8.07956914075759	0.007809072502444	-0.0191367717234634	0.0417361605839274	-0.0546789013167222	1.97752233598112	-1.97752233598112	0.159651667024747	1
31721	chr15	50557157	50687797	-	TRPM7	15	-8.07916696070083	0.00792003952254028	-0.0200847835341573	-0.0587085001659874	0.503070797739335	1.8926199118614	1.8926199118614	0.168906717315303	1
31740	chr15	51413096	51498833	+	AC066613.2	15	-8.07848377430343	0.00779606838203906	-0.0212913239800144	-0.00812245738879361	0.0260085520712779	1.44162522857005	1.44162522857005	0.229876524126466	1
31794	chr15	55318221	55355648	+	PIGB	15	-8.07907752100694	0.00789212324558442	-0.0201666716121627	-0.0696642079742768	0.20045304439839	1.3158693508658	1.3158693508658	0.251334720682735	1
31656	chr15	46409308	46661103	+	AC012405.1	15	-8.07821974041217	0.00704606167858168	-0.0216019729517107	0.0159323673693062	0.0186958821905445	1.28406379624812	1.28406379624812	0.257144806315696	1
31621	chr15	45092649	45115172	-	DUOX2	15	-8.07918614732494	0.00787772615573212	-0.0198870163886544	0.168910762062817	-0.163368718661302	1.14342972017948	-1.14342972017948	0.284928775157193	1
31553	chr15	42738117	42742197	+	AC090510.1	15	-8.07827800719009	0.00710747967800707	-0.0214156752984246	0.0156369200905278	0.0182623391741177	1.140353904123	1.140353904123	0.285577558223344	1
32347	chr15	81553002	81696780	+	AC023034.1	15	-8.07890957291183	0.00780848799756706	-0.0204777009874772	0.000713603256605803	0.0503097074560566	1.06274354080051	1.06274354080051	0.30259028000991	1
32270	chr15	78292285	78296049	+	AC090607.1	15	-8.0790960680201	0.00788959109472476	-0.0200996886044201	-0.0378325914295261	0.222739446632447	1.04761832548229	1.04761832548229	0.306056246193216	1
31604	chr15	44665731	44677550	-	PATL2	15	-8.07920986396017	0.00788288282484251	-0.0198492114646945	0.133494539588697	-0.187434291963104	1.01471851824408	-1.01471851824408	0.313775075733154	1
32449	chr15	87325828	87704825	-	AC020687.1	15	-8.07862289657328	0.007999893774568	-0.0210621583597026	-0.0159740381997	0.0216168089063395	1.01441862997217	1.01441862997217	0.313846594180952	1
31255	chr15	27620533	27629289	+	AC021979.1	15	-8.07906045962914	0.00788107294720009	-0.0201267847671567	-0.10095744897902	0.269217395337022	0.99067920672951	0.99067920672951	0.319576427084461	1
