testIndex	chr	start	end	strand	geneName	chrInt	(Intercept)	time	group	V4	interaction	testStat	signedTestStat	pvalue	adjpvalue
11173	chr6	35597301	35988926	+	WIN-L09-C06-W092	6	-8.47311940261594	0.269382327951786	-0.256789083592495	0.989528295801912	-1.19273348115416	149.293187315683	-149.293187315683	0	0
6123	chr3	109303029	110866529	+	WIN-L07-C03-W070	3	-8.47224634928114	0.271536931070186	-0.261821231689095	1.16043689571218	-1.30934816567099	135.747372028723	-135.747372028723	0	0
11167	chr6	35011364	35793614	+	WIN-L08-C06-W045	6	-8.47332492095692	0.269219232856165	-0.257232460670716	0.930955090812516	-0.71764211331972	128.836784065879	-128.836784065879	0	0
6099	chr3	106959279	110085279	+	WIN-L06-C03-W35	3	-8.47281358480295	0.271714311861469	-0.26148335404565	1.05885490703074	-1.27477982958322	123.089519899746	-123.089519899746	0	0
5284	chr3	27271779	33522779	+	WIN-L05-C03-W05	3	-8.47365290333295	0.2720779835386	-0.261036803168696	0.749283018319493	-0.860289829698797	121.722741759364	-121.722741759364	0	0
11172	chr6	35499773	35696085	+	WIN-L10-C06-W182	6	-8.4725013813871	0.268903014819769	-0.257419624911659	0.995846645118203	-0.708212056511241	114.166475873935	-114.166475873935	0	0
11155	chr6	33839489	36965489	+	WIN-L06-C06-W11	6	-8.47408950056486	0.269698251743227	-0.257027482290841	0.628977759506283	-0.579169119906165	111.719903939753	-111.719903939753	0	0
29421	chrX	20988197	22551697	+	WIN-L07-CX-W14	23	-8.4719357833658	0.271207699168977	-0.261572809240907	1.19619632587824	-1.29531094744753	111.07670475634	-111.07670475634	0	0
6115	chr3	108521779	114772779	+	WIN-L05-C03-W18	3	-8.47327250334251	0.272064939177562	-0.261197887790766	0.68004843574088	-0.874260978475063	110.870866439574	-110.870866439574	0	0
21388	chr13	24759289	25541539	+	WIN-L08-C13-W032	13	-8.47199395870834	0.271707743699695	-0.26251518780337	1.13317000326204	-1.14033255575843	108.822250642359	-108.822250642359	0	0
26990	chr19	401558	1965058	+	WIN-L07-C19-W01	19	-8.47389138289878	0.272046848925809	-0.260547677311379	0.585239754897007	-0.640122715605165	106.337016839821	-106.337016839821	0	0
11139	chr6	32276989	38527989	+	WIN-L05-C06-W06	6	-8.47448924019296	0.269854910816051	-0.257006663493593	0.506526688851139	-0.476611885713927	102.556238397738	-102.556238397738	0	0
26994	chr19	792183	1574433	+	WIN-L08-C19-W02	19	-8.47363286900802	0.272045161893137	-0.261275970100527	0.64627509787234	-0.669773264699877	102.353301831641	-102.353301831641	0	0
5324	chr3	31178029	32741529	+	WIN-L07-C03-W020	3	-8.47238257321646	0.271627486264407	-0.26208695365724	1.09793372069125	-1.0080060390961	101.297169635349	-101.297169635349	0	0
21384	chr13	24368664	27494664	+	WIN-L06-C13-W08	13	-8.47237033537262	0.271853325723943	-0.262391547806603	1.07296593431851	-1.10279659056537	101.190253738976	-101.190253738976	0	0
5252	chr3	24146779	74147779	+	WIN-L02-C03-W1	3	-8.47679598509729	0.270878309673198	-0.252732112520477	0.270202654285572	-0.340395667990271	99.9289495127923	-99.9289495127923	0	0
29425	chrX	21378822	22161072	+	WIN-L08-CX-W028	23	-8.47193125561376	0.271203072813273	-0.261594801295661	1.19619935668161	-1.26671481733214	99.1986503165026	-99.1986503165026	0	0
6083	chr3	105396779	117897779	+	WIN-L04-C03-W09	3	-8.47366852751808	0.272327704185559	-0.260872467067592	0.553906908305589	-0.743269021410596	99.1319142562024	-99.1319142562024	0	0
