chr	start	end	strand	geneName	chrInt	testIndex	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	Zscore	testStat	signedTestStat	pvalue	adjpvalue
chrX	31119227	33129165	-	DMD	23	88979	0	2009938	3919	1809032596	0	2009938	3998	1809032517	0	2009938	4533	1809031982	0	2009938	3086	1809033429	6	2009932	5814	1809030701	4	2009934	4063	1809032452	4	2009934	2291	1809034224	2	2009936	1253	1809035262	-14.2237658411801	24.5974912705133	-24.5974912705133	7.06436429687152e-07	0.00456235394691445
chr3	47016688	47164967	-	SETD2	3	16064	4	148275	3915	1810894259	3	148276	3995	1810894179	12	148267	4521	1810893653	15	148264	3071	1810895103	2	148277	5818	1810892356	3	148276	4064	1810894110	1	148278	2294	1810895880	0	148279	1255	1810896919	1.59124316401324	17.8038340721978	17.8038340721978	2.44889274325644e-05	0.0702913847072706
chr9	134640804	134844840	+	COL5A1	9	43830	0	204036	3919	1810838498	0	204036	3998	1810838419	0	204036	4533	1810837884	0	204036	3086	1810839331	5	204031	5815	1810836602	4	204032	4063	1810838354	0	204036	2295	1810840122	1	204035	1254	1810841163	-13.7533339511497	15.3710974901915	-15.3710974901915	8.83290938432646e-05	0.207436952790794
chr16	72282207	72665947	-	LINC01572	16	69640	2	383738	3917	1810658796	2	383738	3996	1810658717	5	383735	4528	1810658185	2	383738	3084	1810659629	0	383740	5820	1810656893	0	383740	4067	1810658646	0	383740	2295	1810660418	0	383740	1255	1810661458	13.527476133148	13.7141222169157	13.7141222169157	0.000212847947246408	0.377862372237046
chr1	1385710	1400335	-	CCNL2	1	145	10	14615	3909	1811027919	7	14618	3991	1811027837	6	14619	4527	1811027301	3	14622	3083	1811028745	2	14623	5818	1811026010	2	14623	4065	1811027763	1	14624	2294	1811029534	0	14625	1255	1811030573	1.50515776446451	12.7135825731093	12.7135825731093	0.000363009328114172	0.377862372237046
chr8	135457546	135647610	+	KHDRBS3	8	40520	0	190064	3919	1810852470	0	190064	3998	1810852391	0	190064	4533	1810851856	0	190064	3086	1810853303	2	190062	5818	1810850571	4	190060	4063	1810852326	1	190063	2294	1810854095	1	190063	1254	1810855135	-13.5300397333957	12.2962251468562	-12.2962251468562	0.00045387533704222	0.377862372237046
chr2	203013878	203219874	+	NBEAL1	2	13483	0	205996	3919	1810836538	0	205996	3998	1810836459	0	205996	4533	1810835924	0	205996	3086	1810837371	4	205992	5816	1810834641	2	205994	4065	1810836392	2	205994	2293	1810838164	0	205996	1255	1810839202	-13.5300381751621	12.2962184430799	-12.2962184430799	0.000453876967288047	0.377862372237046
chr3	49727027	49787542	-	IP6K1	3	16316	3	60512	3916	1810982022	9	60506	3989	1810981949	0	60515	4533	1810981405	2	60513	3084	1810982854	1	60514	5819	1810980119	0	60515	4067	1810981871	0	60515	2295	1810983643	0	60515	1255	1810984683	2.49479040702078	11.6437625694089	11.6437625694089	0.000644181718631676	0.377862372237046
chr3	78597238	79768998	-	ROBO1	3	17095	0	1171760	3919	1809870774	1	1171759	3997	1809870696	0	1171760	4533	1809870160	0	1171760	3086	1809871607	8	1171752	5812	1809868881	2	1171758	4065	1809870628	1	1171759	2294	1809872399	0	1171760	1255	1809873438	-2.54380028149451	11.270210509887	-11.270210509887	0.000787607968520399	0.377862372237046
chr7	100107077	100115558	-	TAF6	7	35468	1	8480	3918	1811034054	1	8480	3997	1811033975	5	8476	4528	1811033444	2	8479	3084	1811034888	0	8481	5820	1811032152	0	8481	4067	1811033905	0	8481	2295	1811035677	0	8481	1255	1811036717	13.3270888073781	11.221154296305	11.221154296305	0.000808701794435374	0.377862372237046
chr19	2327692	2353933	+	SPPL2B	19	77716	1	26240	3918	1811016294	0	26241	3998	1811016214	3	26238	4530	1811015682	5	26236	3081	1811017131	0	26241	5820	1811014392	0	26241	4067	1811016145	0	26241	2295	1811017917	0	26241	1255	1811018957	13.3268025945669	11.2204232619843	11.2204232619843	0.000809020414276884	0.377862372237046
chr16	2910998	2951199	+	FLYWCH1	16	66894	0	40201	3919	1811002333	0	40201	3998	1811002254	6	40195	4527	1811001725	3	40198	3083	1811003169	0	40201	5820	1811000432	0	40201	4067	1811002185	0	40201	2295	1811003957	0	40201	1255	1811004997	14.326755159087	11.2203194781905	11.2203194781905	0.000809065658517794	0.377862372237046
chr17	63008559	63422356	+	TANC2	17	74184	1	413796	3918	1810628738	1	413796	3997	1810628659	4	413793	4529	1810628127	3	413794	3083	1810629573	0	413797	5820	1810626836	0	413797	4067	1810628589	0	413797	2295	1810630361	0	413797	1255	1810631401	13.3266746110385	11.2200975666055	11.2200975666055	0.000809162408803021	0.377862372237046
chr4	106041598	106317683	-	TBCK	4	22325	0	276085	3919	1810766449	0	276085	3998	1810766370	0	276085	4533	1810765835	0	276085	3086	1810767282	3	276082	5817	1810764551	1	276084	4066	1810766302	2	276083	2293	1810768075	1	276084	1254	1810769114	-13.3964264533827	10.7588937849505	-10.7588937849505	0.00103779394368642	0.377862372237046
chr4	142028744	142474415	-	INPP4B	4	23039	0	445671	3919	1810596863	0	445671	3998	1810596784	0	445671	4533	1810596249	0	445671	3086	1810597696	1	445670	5819	1810594963	3	445668	4064	1810596718	3	445668	2292	1810598490	0	445671	1255	1810599527	-13.3964215802746	10.7588829197921	-10.7588829197921	0.00103780003624199	0.377862372237046
chr20	52971357	53495330	+	TSHZ2	20	84632	0	523973	3919	1810518561	0	523973	3998	1810518482	0	523973	4533	1810517947	0	523973	3086	1810519394	4	523969	5816	1810516664	1	523972	4066	1810518414	1	523972	2294	1810520186	1	523972	1254	1810521226	-13.396420436394	10.7588794723852	-10.7588794723852	0.0010378019693571	0.377862372237046
chr14	67818828	68730218	+	RAD51B	14	61450	2	911388	3917	1810131146	3	911387	3995	1810131068	6	911384	4527	1810130536	2	911388	3084	1810131979	1	911389	5819	1810129244	0	911390	4067	1810130996	0	911390	2295	1810132768	0	911390	1255	1810133808	2.42056772225701	10.5393065630924	10.5393065630924	0.00116862257516082	0.377862372237046
chr17	81556886	81638112	-	NPLOC4	17	75294	13	81213	3906	1810961321	10	81216	3988	1810961239	11	81215	4522	1810960705	5	81221	3081	1810962146	6	81220	5814	1810959413	4	81222	4063	1810961164	3	81223	2292	1810962935	0	81226	1255	1810963972	0.955081577541015	10.1221539489925	10.1221539489925	0.00146497695383008	0.377862372237046
chr16	648324	667833	+	WDR90	16	66484	4	19505	3915	1811023029	2	19507	3996	1811022948	2	19507	4531	1811022413	0	19509	3086	1811023858	0	19509	5820	1811021124	0	19509	4067	1811022877	0	19509	2295	1811024649	0	19509	1255	1811025689	13.2089892922163	9.97353058867157	9.97353058867157	0.00158806681824686	0.377862372237046
chr13	113887305	113923512	+	LINC00452	13	59652	1	36206	3918	1811006328	2	36205	3996	1811006250	1	36206	4532	1811005714	4	36203	3082	1811007164	0	36207	5820	1811004426	0	36207	4067	1811006179	0	36207	2295	1811007951	0	36207	1255	1811008991	13.2089105338281	9.97335758281406	9.97335758281406	0.00158821604353587	0.377862372237046
chr11	118747762	118792164	-	DDX6	11	52384	3	44399	3916	1810998135	2	44400	3996	1810998055	2	44400	4531	1810997520	1	44401	3085	1810998966	0	44402	5820	1810996231	0	44402	4067	1810997984	0	44402	2295	1810999756	0	44402	1255	1811000796	13.2088935506828	9.97332244319841	9.97332244319841	0.00158824635476118	0.377862372237046
chr10	103966139	104029233	+	SLK	10	46923	3	63091	3916	1810979443	0	63094	3998	1810979361	2	63092	4531	1810978828	3	63091	3083	1810980276	0	63094	5820	1810977539	0	63094	4067	1810979292	0	63094	2295	1810981064	0	63094	1255	1810982104	13.2088713198431	9.97327347646933	9.97327347646933	0.00158828859415028	0.377862372237046
