testIndex	chr	start	end	strand	geneName	chrInt	(Intercept)	timePointInMonths	interaction	testStat	signedTestStat	pvalue	adjpvalue
31787	chr15	54899000	54980000	+	SIMULA80K+	15	-8.0797924553511	-2.02906143284754e-06	0.666206703692939	4639.24719369795	4639.24719369795	0	0
32632	chr15	96999000	97040000	+	SIMULA40K+	15	-8.09969475000303	0.0226089562642404	0.633524645001586	1304.02773378906	1304.02773378906	0	0
31105	chr15	22300000	22321000	-	SIMULA20K-	15	-8.10476432484603	0.028428398701365	0.638285666220899	460.680440076278	460.680440076278	0	0
31407	chr15	37500000	37511000	-	SIMULA10K-	15	-8.10580241372124	0.0296602206756237	0.674141112482413	293.671783628375	293.671783628375	0	0
32683	chr15	100000000	100006000	-	SIMULA05K-	15	-8.10595932678067	0.0298082552388642	0.657314642409829	263.043460006988	263.043460006988	0	0
32046	chr15	68577992	68727806	+	CORO2B	15	-8.107585814516	0.0325506385364775	-0.0557177520487162	11.7968124059753	-11.7968124059753	0.000593322220278525	0.063841199131408
31134	chr15	24557059	24912924	+	AC090983.2	15	-8.10717866531339	0.0328350975915459	-0.039931044910403	11.6790114694777	-11.6790114694777	0.00063209108050899	0.063841199131408
31661	chr15	47183100	47774221	+	SEMA6D	15	-8.10720396529506	0.0328751958793009	-0.0372095858168394	11.1191405119389	-11.1191405119389	0.000854413710136726	0.0755088116333331
31273	chr15	29120253	29571723	-	FAM189A1	15	-8.10723101843225	0.032631837419571	-0.0401014997787079	9.97606958764845	-9.97606958764845	0.00158587845098446	0.124579562760668
32449	chr15	87325828	87704825	-	AC020687.1	15	-8.10755616722239	0.0323894908412574	-0.0471112923823323	8.52878277111631	-8.52878277111631	0.00349573416512072	0.247148405474035
31346	chr15	32765543	33195714	-	FMN1	15	-8.10750024903087	0.0323958440492033	-0.0446396852326038	8.28456373108384	-8.28456373108384	0.00399835098672474	0.256984922510399
31129	chr15	24100826	24445011	+	PWRN1	15	-8.10742581612802	0.0321672210021656	-0.0523121063627672	7.44347734002076	-7.44347734002076	0.00636667593382656	0.375103323767948
32556	chr15	91098949	91292636	+	SV2B	15	-8.1074559743316	0.0323356734877711	-0.03297339888232	5.80191424656005	-5.80191424656005	0.0160087365628553	0.870628980764515
32235	chr15	76347903	76906340	-	SCAPER	15	-8.10738545925062	0.0321175164313853	-0.0413537980309615	5.57488695748361	-5.57488695748361	0.0182198411342802	0.920101977281151
31741	chr15	51447710	51623833	-	DMXL2	15	-8.10747469231838	0.0319269234795465	-0.0589533877280252	5.25356140992699	-5.25356140992699	0.0219018996534032	0.974895837978405
31260	chr15	28111039	28323179	-	HERC2	15	-8.10750566979177	0.0318544752155588	-0.0726619200275487	5.20200604782804	-5.20200604782804	0.0225608371661341	0.974895837978405
32089	chr15	71095951	71783383	+	THSD4	15	-8.10756923774721	0.0322771538343093	-0.0310278329373774	4.88888398464042	-4.88888398464042	0.0270301533315291	0.974895837978405
31553	chr15	42738117	42742197	+	AC090510.1	15	-8.10755858067895	0.0320760461680899	-0.0398055998349664	4.63088144125504	-4.63088144125504	0.0314014273265955	0.974895837978405
31656	chr15	46409308	46661103	+	AC012405.1	15	-8.10752271535406	0.0322379621598389	-0.0297436735324499	4.5245310392238	-4.5245310392238	0.0334122316401631	0.974895837978405
32391	chr15	83653087	84039427	+	ADAMTSL3	15	-8.10752599188005	0.0320370162960619	-0.0391720572224668	4.31361078354348	-4.31361078354348	0.037808630223069	0.974895837978405
32038	chr15	68053178	68193846	+	PIAS1	15	-8.10741980107986	0.0319060109513508	-0.0480951830454223	4.25400180007273	-4.25400180007273	0.0391579545779832	0.974895837978405
31740	chr15	51413096	51498833	+	AC066613.2	15	-8.10740239613554	0.0319613021456204	-0.040583893021255	4.11285302738543	-4.11285302738543	0.0425585111056951	0.974895837978405
31136	chr15	24822646	24978582	+	SNRPN	15	-8.10742695821731	0.0319110025506755	-0.041067809639238	3.67099824240904	-3.67099824240904	0.0553670142347172	0.974895837978405
31681	chr15	48408312	48646709	-	FBN1	15	-8.10746186817011	0.0318439577044877	-0.0493306813767357	3.60002420803176	-3.60002420803176	0.0577787297577681	0.974895837978405
32423	chr15	84979439	85139145	+	PDE8A	15	-8.10731009814223	0.0317802445405279	-0.0501250562909776	3.42731722338613	-3.42731722338613	0.0641261912228313	0.974895837978405
32033	chr15	67541702	67807114	+	MAP2K5	15	-8.10749366701017	0.0318226939266921	-0.0471422280420885	3.14762724865977	-3.14762724865977	0.0760374554504506	0.974895837978405
32071	chr15	70047789	70098917	-	TLE3	15	-8.10750817631616	0.0318323420845411	-0.0432513817771398	2.94501883903649	-2.94501883903649	0.0861426946882915	0.974895837978405
32561	chr15	91852707	92165903	+	SLCO3A1	15	-8.10747600403151	0.0317997010982389	-0.0439492743599346	2.77228717354592	-2.77228717354592	0.0959090309521906	0.974895837978405
31400	chr15	36889203	37101549	-	MEIS2	15	-8.10744971574131	0.0318162303518145	-0.0388021770915582	2.64704477972009	-2.64704477972009	0.103742594908138	0.974895837978405
31825	chr15	56917622	57288514	+	TCF12	15	-8.10743507142024	0.0317885160608915	-0.0409337724220917	2.58603669368495	-2.58603669368495	0.107809801203715	0.974895837978405
32346	chr15	81426447	81755217	+	AC060809.1	15	-8.10748224064238	0.0317798658823206	-0.0440534430926607	2.57746898452569	-2.57746898452569	0.10839485753378	0.974895837978405
31985	chr15	65381483	65423947	-	IGDCC4	15	-8.10744728599273	0.0317073031846534	-0.0570118330608074	2.56043401419993	-2.56043401419993	0.109568499677713	0.974895837978405
32166	chr15	74540176	74598131	+	ARID3B	15	-8.10758176351134	0.0318039355793691	-0.0439783470925572	2.54216695164359	-2.54216695164359	0.110842570307046	0.974895837978405
31555	chr15	42942896	43107038	-	UBR1	15	-8.10745332753239	0.0317420721211125	-0.0483090529004408	2.51734640828181	-2.51734640828181	0.112599921612443	0.974895837978405
31355	chr15	33866226	34040204	-	AVEN	15	-8.10748720956247	0.031928519933689	-0.0256020181904181	2.30377635365767	-2.30377635365767	0.129059881356308	0.974895837978405
31548	chr15	42574605	42720998	+	STARD9	15	-8.10749069636366	0.0317790584167357	-0.0396456308315407	2.29917925524569	-2.29917925524569	0.129442381100314	0.974895837978405
31895	chr15	61298790	61636449	-	AC104574.2	15	-8.10740847842579	0.0316692880831429	-0.0575072970357929	2.25101518683005	-2.25101518683005	0.133526778291201	0.974895837978405
31937	chr15	63907035	64041267	-	DAPK2	15	-8.10744515722336	0.0317073478438063	-0.0481757199137708	2.18034623016138	-2.18034623016138	0.139783012509281	0.974895837978405
31945	chr15	64214098	64382420	-	AC087632.2	15	-8.10751639045018	0.0316767637091489	-0.0633340297758181	2.17177380947942	-2.17177380947942	0.140564016989973	0.974895837978405
32245	chr15	77100655	77421144	-	PEAK1	15	-8.10744806963703	0.0318038914379551	-0.032915204206108	2.16901435131695	-2.16901435131695	0.140816463623381	0.974895837978405
31984	chr15	65327126	65379002	-	IGDCC3	15	-8.10742461702629	0.0316685998555778	-0.0556001995700144	2.11670535840312	-2.11670535840312	0.145699674222744	0.974895837978405
31689	chr15	48809700	48811588	+	AC012379.2	15	-8.10767641762565	0.0315378909407407	0.432035112301353	2.04728195278767	2.04728195278767	0.152478195163733	0.974895837978405
31948	chr15	64386835	64455303	+	TRIP4	15	-8.10762179592553	0.0316666997845225	-0.0764852831898021	1.97570837806052	-1.97570837806052	0.159843251212314	0.974895837978405
32453	chr15	87859750	88257747	-	NTRK3	15	-8.10752108265701	0.0317709967057461	-0.034397132003993	1.88006801414667	-1.88006801414667	0.170326417688164	0.974895837978405
31474	chr15	40593019	40664342	+	KNL1	15	-8.10740571209371	0.0316353275463517	-0.0579147936239054	1.86163421576748	-1.86163421576748	0.172436306774615	0.974895837978405
31396	chr15	36578625	36810244	+	C15orf41	15	-8.10745102795764	0.0318150790053741	-0.0272141045691591	1.85629488717132	-1.85629488717132	0.17305303314301	0.974895837978405
32081	chr15	70654553	70764558	-	UACA	15	-8.10739487241567	0.0316700201932962	-0.0453375342136721	1.83093040576387	-1.83093040576387	0.176017690121221	0.974895837978405
31806	chr15	55826921	55918131	-	NEDD4	15	-8.10742336286945	0.0317179112313308	-0.036557167655345	1.79374704681868	-1.79374704681868	0.180470288418077	0.974895837978405
31722	chr15	50556600	50560500	+	AC084756.1	15	-8.10741663144938	0.0316155338635752	-0.0649777077333788	1.76773869069802	-1.76773869069802	0.183662181631985	0.974895837978405
32029	chr15	67253785	67501804	+	IQCH	15	-8.10748647356081	0.0317204149819872	-0.0375522876309103	1.72350370112872	-1.72350370112872	0.189242665733411	0.974895837978405
32347	chr15	81553002	81696780	+	AC023034.1	15	-8.10748088361334	0.0316694917517546	-0.0487820385826966	1.71537070878185	-1.71537070878185	0.190290028607758	0.974895837978405
31126	chr15	23756114	23856375	+	AC087490.1	15	-8.10747889273624	0.0317236974211347	-0.036164620519279	1.70146698941244	-1.70146698941244	0.192096238597107	0.974895837978405
32592	chr15	93898229	93973719	+	LINC01580	15	-8.10746059604954	0.0316253211803288	-0.0631293496321941	1.68955859409471	-1.68955859409471	0.193659166399739	0.974895837978405
31592	chr15	43825979	43867018	+	WDR76	15	-8.10748765171267	0.0316033150905308	-0.0829010460121238	1.68629192712797	-1.68629192712797	0.194090496894351	0.974895837978405
31986	chr15	65442462	65518273	-	DPP8	15	-8.10741763565128	0.0316126883126367	-0.0626220267172396	1.66601996622558	-1.66601996622558	0.196792476321942	0.974895837978405
32564	chr15	92392880	92468728	+	ST8SIA2	15	-8.10744339995551	0.0317663882457595	-0.028519984750151	1.66399753346195	-1.66399753346195	0.197064448138863	0.974895837978405
32566	chr15	92470232	92472546	-	AC090985.2	15	-8.10760367547121	0.0315214946318848	0.42493680808216	1.6631767976105	1.6631767976105	0.197174944337375	0.974895837978405
31842	chr15	58409568	58568873	+	LIPC	15	-8.10741909031979	0.0317169417985333	-0.0327208166323315	1.60942754714779	-1.60942754714779	0.204572289994917	0.974895837978405
32364	chr15	82646769	82692820	+	CPEB1-AS1	15	-8.10737031666981	0.0315789329190614	-0.0717226958518779	1.58658633008781	-1.58658633008781	0.207814530788009	0.974895837978405
32017	chr15	66503958	66548426	+	ZWILCH	15	-8.10756271007845	0.0316520641714493	-0.0593098828520802	1.57166042116296	-1.57166042116296	0.209966044085604	0.974895837978405
31562	chr15	43232589	43267928	-	TGM5	15	-8.10745468702094	0.0316069202267819	-0.0658435444643376	1.52523058768384	-1.52523058768384	0.216829662210494	0.974895837978405
31944	chr15	64165524	64357173	-	CSNK1G1	15	-8.1075053593714	0.0316454193393075	-0.0529694160312291	1.51230474557815	-1.51230474557815	0.218787739213247	0.974895837978405
31883	chr15	60488283	61230302	-	RORA	15	-8.10751194612247	0.0316568785257672	-0.0493077463206719	1.51221518937382	-1.51221518937382	0.218801379058309	0.974895837978405
31652	chr15	45704077	45848885	+	AC068722.1	15	-8.10744637005929	0.0316025514235719	-0.0634830142082014	1.44750975228271	-1.44750975228271	0.228927954490951	0.974895837978405
32374	chr15	82848982	82953720	-	HOMER2	15	-8.1075097342622	0.0316420473196786	-0.0521513405243571	1.4404642820391	-1.4404642820391	0.23006422430256	0.974895837978405
32028	chr15	67200666	67255661	-	AAGAB	15	-8.10744464638916	0.0316459171095326	-0.0443729369768794	1.43767050965107	-1.43767050965107	0.230516674873595	0.974895837978405
31131	chr15	24205783	24225854	+	AC087463.1	15	-8.107442149314	0.031572700331952	-0.0864777316030109	1.430489773913	-1.430489773913	0.231684523762553	0.974895837978405
31724	chr15	50702265	50766706	-	SPPL2A	15	-8.10749919755922	0.0316276662851625	-0.0569374582274445	1.42931605722333	-1.42931605722333	0.231876090728633	0.974895837978405
32498	chr15	89830598	89894994	-	AP3S2	15	-8.10739086122187	0.0315857172635418	-0.0632921434672073	1.42307369300943	-1.42307369300943	0.23289815012563	0.974895837978405
32057	chr15	69159634	69272207	+	GLCE	15	-8.10740209689408	0.0316342074620102	-0.0436897132277317	1.41472227784107	-1.41472227784107	0.234274047372057	0.974895837978405
32633	chr15	97233245	97432086	+	LINC02253	15	-8.10750472234337	0.0316535527960201	-0.0462265968066637	1.40712497406093	-1.40712497406093	0.235534250801755	0.974895837978405
32593	chr15	93905404	94108938	-	LINC01581	15	-8.10745412913242	0.031605291219168	-0.0610059014747337	1.40155457874607	-1.40155457874607	0.236463456854871	0.974895837978405
31507	chr15	41416103	41483563	+	RTF1	15	-8.10742464079918	0.0315820566967708	-0.0710264750667487	1.39550377649721	-1.39550377649721	0.23747783799017	0.974895837978405
31791	chr15	55202965	55271394	-	RAB27A	15	-8.10750694832617	0.0316756368161525	-0.0392223734003945	1.37868079011787	-1.37868079011787	0.24032598460449	0.974895837978405
32365	chr15	82659280	82700901	-	AP3B2	15	-8.10738442480385	0.0315705554798222	-0.0698835398686998	1.36810221092492	-1.36810221092492	0.242138217891932	0.974895837978405
32164	chr15	74488601	74516959	+	AC012435.3	15	-8.1074946491866	0.0315864167794405	-0.0825757000018532	1.35336665579598	-1.35336665579598	0.244690414750722	0.974895837978405
31469	chr15	40487040	40558019	+	AC091045.2	15	-8.10752397220049	0.0315960099864391	-0.0804541521953655	1.34325668849851	-1.34325668849851	0.246460460214163	0.974895837978405
32723	chr15	101653595	101725473	-	TARS3	15	-8.107509698664	0.0316267200253318	-0.054242992509081	1.32053373858616	-1.32053373858616	0.25049628376978	0.974895837978405
31738	chr15	51340654	51408000	+	GLDN	15	-8.1074884562107	0.0316718594969318	-0.0363760269281882	1.29080383974178	-1.29080383974178	0.25589986607885	0.974895837978405
32292	chr15	79141938	79284823	-	ANKRD34C-AS1	15	-8.10747836030512	0.0314120947515038	0.061848062963342	1.28619237155363	1.28619237155363	0.256750835592199	0.974895837978405
31749	chr15	51828652	51915725	+	TMOD3	15	-8.10744094068716	0.0315725622718241	-0.0764109648487592	1.27463631140017	-1.27463631140017	0.25889870961974	0.974895837978405
32348	chr15	81633425	81864728	-	AC104041.1	15	-8.10751333263713	0.0316193710664572	-0.0562934460575236	1.26921850616418	-1.26921850616418	0.259913338808016	0.974895837978405
32558	chr15	91407715	91605869	+	AC104035.1	15	-8.10746243764514	0.0316876574438797	-0.0311940896751515	1.26288938986545	-1.26288938986545	0.26110487632405	0.974895837978405
32587	chr15	93588866	93760799	+	AC110023.1	15	-8.10742381470983	0.0316342750436529	-0.0402796107764077	1.25665746767118	-1.25665746767118	0.262284735919387	0.974895837978405
32306	chr15	79920194	79923455	-	AC015871.3	15	-8.10751891818551	0.031480709723799	0.156141649126428	1.24872109179705	1.24872109179705	0.263796882450015	0.974895837978405
31897	chr15	61638927	61692148	-	AC018618.1	15	-8.10748502986601	0.0316407069389409	-0.0428523482881624	1.24005318875243	-1.24005318875243	0.265460803300763	0.974895837978405
32049	chr15	68880662	68929941	-	AC087639.2	15	-8.10746392468137	0.0316201184299438	-0.0481852691733748	1.24003504177199	-1.24003504177199	0.265464300526861	0.974895837978405
31707	chr15	49858237	50120233	-	ATP8B4	15	-8.10749428301725	0.0316349343477212	-0.0450683680705495	1.22368228235973	-1.22368228235973	0.26863921132637	0.974895837978405
31532	chr15	42139033	42157636	-	PLA2G4F	15	-8.10744609468348	0.0315612725638242	-0.0870491141345318	1.20950605754842	-1.20950605754842	0.271429967995573	0.974895837978405
