chr	start	end	strand	geneName	chrInt	testIndex	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	Zscore	testStat	signedTestStat	pvalue	adjpvalue
chr15	54899000	54980000	+	SIMULA80K+	15	31787	0	81000	400	56699584	0	81000	400	56699584	0	81000	400	56699584	3	80997	397	56699587	8	80992	392	56699592	3	80997	397	56699587	10	80990	390	56699594	8	80992	392	56699592	-2.28517841679033	24.6635845236451	-24.6635845236451	6.82618809699775e-07	0.000255982053637416
chr15	96999000	97040000	+	SIMULA40K+	15	32632	1	40999	399	56739585	1	40999	399	56739585	1	40999	399	56739585	0	41000	397	56739587	4	40996	388	56739596	8	40992	389	56739595	9	40991	381	56739603	4	40996	388	56739596	-2.15097353568249	20.2701341498905	-20.2701341498905	6.72420732650281e-06	0.00169146170019507
chr15	22300000	22321000	-	SIMULA20K-	15	31105	0	21000	399	56759585	0	21000	399	56759585	0	21000	399	56759585	0	21000	397	56759587	6	20994	382	56759602	2	20998	387	56759597	1	20999	380	56759604	5	20995	383	56759601	-12.9858110851794	19.9052046663419	-19.9052046663419	8.13784783415539e-06	0.00303541724213996
chr15	37500000	37511000	-	SIMULA10K-	15	31407	0	11000	399	56769585	0	11000	399	56769585	0	11000	399	56769585	0	11000	397	56769587	2	10998	380	56769604	2	10998	385	56769599	0	11000	380	56769604	2	10998	381	56769603	-12.1424629642392	8.57051152759232	-8.57051152759232	0.00341651155136169	0.416024480754369
chr15	26394036	26455217	+	LINC02248	15	31243	0	61181	399	56719404	0	61181	399	56719404	0	61181	399	56719404	0	61181	397	56719406	2	61179	380	56719423	1	61180	386	56719417	1	61180	379	56719424	1	61180	382	56719421	-11.9592741134294	7.14012196846306	-7.14012196846306	0.00753780320746711	0.416024480754369
chr15	26403479	26478840	-	AC009878.2	15	31244	0	75361	399	56705224	0	75361	399	56705224	0	75361	399	56705224	0	75361	397	56705226	2	75359	380	56705243	1	75360	386	56705237	1	75360	379	56705244	1	75360	382	56705241	-11.9592662987747	7.14011236150691	-7.14011236150691	0.00753784358934051	0.416024480754369
chr15	72199028	72232190	-	PKM	15	32102	3	33159	396	56747426	1	33161	398	56747424	1	33161	398	56747424	0	33162	397	56747425	0	33162	382	56747440	0	33162	387	56747435	0	33162	380	56747442	0	33162	383	56747439	11.8798362869928	6.74280118943716	6.74280118943716	0.00941267139019675	0.416024480754369
chr15	57590903	57685364	+	MYZAP	15	31834	0	94461	399	56686124	3	94458	396	56686127	1	94460	398	56686125	1	94460	396	56686127	0	94461	382	56686141	0	94461	387	56686136	0	94461	380	56686143	0	94461	383	56686140	11.8797865639771	6.74274004953622	6.74274004953622	0.00941299397326412	0.416024480754369
chr15	57590907	57714745	+	GCOM1	15	31835	0	123838	399	56656747	3	123835	396	56656750	1	123837	398	56656748	1	123837	396	56656750	0	123838	382	56656764	0	123838	387	56656759	0	123838	380	56656766	0	123838	383	56656763	11.8797801827197	6.74273220036412	6.74273220036412	0.00941303538746541	0.416024480754369
chr15	56917622	57288514	+	TCF12	15	31825	3	370889	396	56409696	6	370886	393	56409699	3	370889	396	56409696	6	370886	391	56409701	2	370890	380	56409712	1	370891	386	56409706	3	370889	377	56409715	0	370892	383	56409709	1.06638009718257	5.85522274309187	5.85522274309187	0.0155308922923899	0.416024480754369
