chr	start	end	strand	geneName	chrInt	testIndex	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	Zscore	testStat	signedTestStat	pvalue	adjpvalue
chr6	32261701	32407763	+	TSBP1-AS1	6	29763	25	146037	3236	1810897155	4	146058	438	1810899953	12	146050	1752	1810898639	9	146053	1293	1810899098	4.5247374075936	353.189142577583	353.189142577583	0	0
chr6	32292955	32372912	-	TSBP1	6	29771	18	79939	3243	1810963253	3	79954	439	1810966057	10	79947	1754	1810964742	8	79949	1294	1810965202	4.87726424400465	302.792827637168	302.792827637168	0	0
chr11	67118268	67257665	+	KDM2A	11	50689	22	139375	3239	1810903817	4	139393	438	1810906618	8	139389	1756	1810905300	6	139391	1296	1810905760	4.3467982892346	268.54504730014	268.54504730014	0	0
chr11	66069271	66244744	+	PACS1	11	50552	20	175453	3241	1810867739	3	175470	439	1810870541	12	175461	1752	1810869228	7	175466	1295	1810869685	4.16569176339585	266.965060946997	266.965060946997	0	0
chr1	20941241	21175737	-	EIF4G3	1	1045	23	234473	3238	1810808719	3	234493	439	1810811518	8	234488	1756	1810810201	9	234487	1293	1810810664	3.89936754996977	250.821861281991	250.821861281991	0	0
chr11	72842953	73141061	-	FCHSD2	11	51050	19	298089	3242	1810745103	3	298105	439	1810747906	12	298096	1752	1810746593	6	298102	1296	1810747049	3.58653319793548	208.912288737512	208.912288737512	0	0
chr17	75318075	75406486	-	GRB2	17	74780	14	88397	3247	1810954795	1	88410	441	1810957601	8	88403	1756	1810956286	6	88405	1296	1810956746	4.47895180429073	202.312552969524	202.312552969524	0	0
chr17	77958239	78106037	+	TNRC6C	17	75036	16	147782	3245	1810895410	2	147796	440	1810898215	9	147789	1755	1810896900	3	147795	1299	1810897356	3.99907991866377	180.914416834654	180.914416834654	0	0
chr12	54230941	54281122	-	CBX5	12	55139	11	50170	3250	1810993022	0	50181	442	1810995830	7	50174	1757	1810994515	5	50176	1297	1810994975	4.81268201646554	175.676881257561	175.676881257561	0	0
chr17	75343404	75373662	+	AC011933.4	17	74784	9	30249	3252	1811012943	0	30258	442	1811015753	6	30252	1758	1811014437	4	30254	1298	1811014897	5.12697369812129	156.994040588848	156.994040588848	0	0
chr12	6976184	7019476	-	LPCAT3	12	53432	8	43284	3253	1810999908	1	43291	441	1811002720	5	43287	1759	1811001402	6	43286	1296	1811001865	4.82014900866174	153.067495061317	153.067495061317	0	0
chr12	54261614	54279063	+	SCAT2	12	55144	7	17442	3254	1811025750	0	17449	442	1811028562	5	17444	1759	1811027245	4	17445	1298	1811027706	5.50525447844932	144.256130169058	144.256130169058	0	0
chr12	6987258	7071032	+	C1S	12	53433	9	83765	3252	1810959427	1	83773	441	1810962238	5	83769	1759	1810960920	7	83767	1295	1810961384	4.25551628022562	143.79550430199	143.79550430199	0	0
chr19	54353623	54371558	-	LAIR1	19	82220	5	17930	3256	1811025262	1	17934	441	1811028077	5	17930	1759	1811026759	5	17930	1297	1811027221	5.47777469660152	143.380534722732	143.380534722732	0	0
chr17	44395280	44504406	-	GPATCH8	17	73229	9	109117	3252	1810934075	2	109124	440	1810936887	6	109120	1758	1810935569	6	109120	1296	1810936031	4.03570563996944	140.378388995305	140.378388995305	0	0
chr11	65421797	65445540	+	NEAT1	11	50421	11	23732	3250	1811019460	0	23743	442	1811022268	3	23740	1761	1811020949	2	23741	1300	1811021410	5.19716986864809	134.445684526814	134.445684526814	0	0
chr17	75946576	75980134	-	ACOX1	17	74854	9	33549	3252	1811009643	1	33557	441	1811012454	4	33554	1760	1811011135	2	33556	1300	1811011595	4.85111551578793	123.446298082941	123.446298082941	0	0
chr19	48211565	48256946	-	CARD8	19	81316	7	45374	3254	1810997818	1	45380	441	1811000631	5	45376	1759	1810999313	2	45379	1300	1810999772	4.48455860654525	104.841163186618	104.841163186618	0	0
chr3	49727027	49787542	-	IP6K1	3	16316	8	60507	3253	1810982685	0	60515	442	1810985496	6	60509	1758	1810984180	2	60513	1300	1810984638	4.26141848945917	104.778566905559	104.778566905559	0	0
chr6	35580556	35689942	-	FKBP5	6	30006	11	109375	3250	1810933817	1	109385	441	1810936626	4	109382	1760	1810935307	2	109384	1300	1810935767	3.78744800448413	101.116966247326	101.116966247326	0	0
chr20	44965521	45075608	+	STK4	20	84255	6	110081	3255	1810933111	1	110086	441	1810935925	6	110081	1758	1810934608	4	110083	1298	1810935068	3.72374987855053	93.3868644852191	93.3868644852191	0	0
chr11	65260961	65298685	+	POLA2	11	50401	5	37719	3256	1811005473	2	37722	440	1811008289	5	37719	1759	1811006970	1	37723	1301	1811007428	4.52596731701991	91.9307547550707	91.9307547550707	0	0
chr9	129887186	130044189	-	FNBP1	9	43587	6	156997	3255	1810886195	1	157002	441	1810889009	7	156996	1757	1810887693	4	156999	1298	1810888152	3.42602415734681	88.4619625485502	88.4619625485502	0	0
chr22	50342330	50444374	+	PPP6R2	22	88337	10	102034	3251	1810941158	1	102043	441	1810943968	2	102042	1762	1810942647	3	102041	1299	1810943110	3.73884921628556	88.3673391300254	88.3673391300254	0	0
chr11	65181461	65211987	+	CAPN1	11	50398	5	30521	3256	1811012671	1	30525	441	1811015486	5	30521	1759	1811014168	1	30525	1301	1811014626	4.65751340103159	87.985744347825	87.985744347825	0	0
chr1	28368739	28500364	+	PHACTR4	1	1504	6	131619	3255	1810911573	3	131622	439	1810914389	4	131621	1760	1810913068	4	131621	1298	1810913530	3.54504410969609	87.4720133573283	87.4720133573283	0	0
chr22	35743982	35939897	-	RBFOX2	22	87572	8	195907	3253	1810847285	1	195914	441	1810850097	6	195909	1758	1810848780	4	195911	1298	1810849240	3.25879654951502	87.2448548449902	87.2448548449902	0	0
chr3	49939149	50077249	+	RBM6	3	16349	12	138088	3249	1810905104	0	138100	442	1810907911	4	138096	1760	1810906593	1	138099	1301	1810907052	3.49701755815204	85.887548002851	85.887548002851	0	0
chr12	7096390	7110238	-	C1RL	12	53443	4	13844	3257	1811029348	2	13846	440	1811032165	2	13846	1762	1811030843	2	13846	1300	1811031305	5.265445563512	85.3953913627193	85.3953913627193	0	0
chr1	27977272	28089564	-	EYA3	1	1488	8	112284	3253	1810930908	1	112291	441	1810933720	3	112289	1761	1810932400	4	112288	1298	1810932863	3.64314057133042	85.3813451881579	85.3813451881579	0	0
chr6	13621497	13712835	-	RANBP9	6	28829	7	91331	3254	1810951861	1	91337	441	1810954674	6	91332	1758	1810953357	1	91337	1301	1810953814	3.7850080245069	84.1989758108102	84.1989758108102	0	0
chr16	67028115	67098811	+	CBFB	16	69205	7	70689	3254	1810972503	1	70695	441	1810975316	4	70692	1760	1810973997	2	70694	1300	1810974457	3.9720669549461	83.7164955916815	83.7164955916815	0	0
chr1	24744446	24844321	+	CLIC4	1	1249	5	99870	3256	1810943322	0	99875	442	1810946136	6	99869	1758	1810944820	4	99871	1298	1810945280	3.69564645203979	81.5820135927061	81.5820135927061	0	0
chr1	17307194	17334796	+	PADI4	1	919	5	27597	3256	1811015595	2	27600	440	1811018411	2	27600	1762	1811017089	2	27600	1300	1811017551	4.67104788863959	80.950126321346	80.950126321346	0	0
chr5	177133228	177295762	+	NSD1	5	28123	9	162525	3252	1810880667	0	162534	442	1810883477	5	162529	1759	1810882160	3	162531	1299	1810882620	3.33408915100584	80.5307462953206	80.5307462953206	0	0
chr6	31797395	31807966	-	LSM2	6	29657	3	10568	3258	1811032624	0	10571	442	1811035440	3	10568	1761	1811034121	3	10568	1299	1811034583	5.43000560037636	79.8047578453261	79.8047578453261	0	0
chr1	26233199	26277687	+	CEP85	1	1347	5	44483	3256	1810998709	1	44487	441	1811001524	4	44484	1760	1811000205	2	44486	1300	1811000665	4.28082655273426	79.0500934701122	79.0500934701122	0	0
chr6	34587287	34697767	-	ILRUN	6	29956	10	110470	3251	1810932722	1	110479	441	1810935532	3	110477	1761	1810934212	1	110479	1301	1810934672	3.59472099693328	78.6335958463315	78.6335958463315	0	0
chr11	65260927	65326543	+	AP000944.5	11	50400	5	65611	3256	1810977581	2	65614	440	1810980397	5	65611	1759	1810979078	1	65615	1301	1810979536	3.97238321469461	77.7466666898981	77.7466666898981	0	0
chr19	1107640	1175256	-	SBNO2	19	77538	4	67612	3257	1810975580	0	67616	442	1810978395	6	67610	1758	1810977079	3	67613	1299	1810977538	3.94235521237824	76.9809127184562	76.9809127184562	0	0
chr3	47016688	47164967	-	SETD2	3	16064	9	148270	3252	1810894922	1	148278	441	1810897733	4	148275	1760	1810896414	2	148277	1300	1810896874	3.3651169143671	76.753791597439	76.753791597439	0	0
chr9	132261355	132355986	-	SETX	9	43682	6	94625	3255	1810948567	0	94631	442	1810951380	5	94626	1759	1810950063	3	94628	1299	1810950523	3.68044201363266	75.7301432790991	75.7301432790991	0	0
chr11	73405982	73599098	-	FAM168A	11	51075	9	193107	3252	1810850085	1	193115	441	1810852896	5	193111	1759	1810851578	2	193114	1300	1810852037	3.16166326764505	74.8969838409394	74.8969838409394	0	0
chr19	6783117	6857366	+	VAV1	19	78106	4	74245	3257	1810968947	0	74249	442	1810971762	5	74244	1759	1810970445	4	74245	1298	1810970906	3.84876653163312	74.5972623942071	74.5972623942071	0	0
chr17	5281486	5383223	+	RABEP1	17	70842	6	101731	3255	1810941461	1	101736	441	1810944275	4	101733	1760	1810942956	3	101734	1299	1810943417	3.60802893617153	73.7557447324507	73.7557447324507	0	0
chr19	15380049	15419988	-	AKAP8L	19	78919	6	39933	3255	1811003259	1	39938	441	1811006073	3	39936	1761	1811004753	1	39938	1301	1811005213	4.30153767405309	72.9135474686918	72.9135474686918	0	0
chr1	150363710	150473556	+	RPRD2	1	4828	6	109840	3255	1810933352	0	109846	442	1810936165	5	109841	1759	1810934848	3	109843	1299	1810935308	3.53133296216976	71.6689224590664	71.6689224590664	0	0
chr11	9663076	9751821	+	SWAP70	11	48448	5	88740	3256	1810954452	1	88744	441	1810957267	5	88740	1759	1810955949	2	88743	1300	1810956408	3.67040683804123	70.0683921157906	70.0683921157906	1.11022302462516e-16	3.22721647385358e-15
chr17	80544467	80966368	+	RPTOR	17	75225	10	421891	3251	1810621301	0	421901	442	1810624110	7	421894	1757	1810622795	4	421897	1298	1810623254	2.59194704736938	69.950343519653	69.950343519653	1.11022302462516e-16	3.22721647385358e-15
chr1	155335267	155563693	-	ASH1L	1	5388	12	228414	3249	1810814778	0	228426	442	1810817585	3	228423	1761	1810816266	2	228424	1300	1810816727	2.99371827002028	69.4509080616117	69.4509080616117	1.11022302462516e-16	3.22721647385358e-15
chr1	8436769	8818271	-	RERE	1	506	12	381490	3249	1810661702	1	381501	441	1810664510	4	381498	1760	1810663191	3	381499	1299	1810663652	2.64368643446255	68.5400396764453	68.5400396764453	1.11022302462516e-16	3.22721647385358e-15
chr11	65502704	65504689	+	MALAT1	11	50439	3	1982	3258	1811041210	0	1985	442	1811044026	2	1983	1762	1811042706	1	1984	1301	1811043167	6.69727362032161	68.3711480136844	68.3711480136844	1.11022302462516e-16	3.22721647385358e-15
chr4	52294	87521	+	ZNF595	4	20045	3	35224	3258	1811007968	1	35226	441	1811010785	4	35223	1760	1811009466	2	35225	1300	1811009926	4.3316252230208	66.8801648457011	66.8801648457011	3.33066907387547e-16	9.46650165663717e-15
chr1	26110836	26125543	+	PDIK1L	1	1334	4	14703	3257	1811028489	0	14707	442	1811031304	2	14705	1762	1811029984	2	14705	1300	1811030446	4.98176740885458	63.8074005286617	63.8074005286617	1.33226762955019e-15	3.73132182086429e-14
chr6	34279678	34393669	-	NUDT3	6	29940	8	113983	3253	1810929209	1	113990	441	1810932021	2	113989	1762	1810930700	2	113989	1300	1810931162	3.42003038430655	63.7474663295434	63.7474663295434	1.4432899320127e-15	3.98410321520341e-14
chr1	35267708	35422058	+	ZMYM4	1	1841	6	154344	3255	1810888848	1	154349	441	1810891662	3	154347	1761	1810890342	4	154346	1298	1810890805	3.19115357390117	62.4767620931962	62.4767620931962	2.66453525910038e-15	7.19987449941418e-14
chr17	7483619	7499758	+	POLR2A	17	71074	5	16134	3256	1811027058	0	16139	442	1811029872	3	16136	1761	1811028553	0	16139	1302	1811029012	4.88883646691939	62.3313294420659	62.3313294420659	2.88657986402541e-15	7.74531953724859e-14
chr3	47585268	47782893	-	SMARCC1	3	16092	8	197617	3253	1810845575	0	197625	442	1810848386	3	197622	1761	1810847067	4	197621	1298	1810847530	3.01311744318247	61.8372545658494	61.8372545658494	3.77475828372553e-15	1.0058158010177e-13
chr1	155764843	155858295	-	GON4L	1	5426	3	93449	3258	1810949743	2	93450	440	1810952561	5	93447	1759	1810951242	2	93450	1300	1810951701	3.53852704885543	61.6014652669837	61.6014652669837	4.2188474935756e-15	1.11639433329997e-13
chr17	7856685	7886209	-	NAA38	17	71159	5	29519	3256	1811013673	2	29522	440	1811016489	1	29523	1763	1811015166	1	29523	1301	1811015628	4.40273578825892	61.4571128533571	61.4571128533571	4.55191440096314e-15	1.18814255486364e-13
chr9	127448500	127449630	-	SNORA65	9	43305	2	1128	3259	1811042064	1	1129	441	1811044882	1	1129	1763	1811043560	1	1129	1301	1811044022	7.07864306385237	60.7842873960908	60.7842873960908	6.32827124036339e-15	1.61877178328496e-13
chr17	77143645	77214360	+	SEC14L1	17	74994	4	70711	3257	1810972481	2	70713	440	1810975298	3	70712	1761	1810973977	2	70713	1300	1810974438	3.73017891972128	60.5741305991542	60.5741305991542	7.105427357601e-15	1.8055314417957e-13
chr9	137612678	137711013	+	AL590627.3	9	44096	4	98331	3257	1810944861	1	98334	441	1810947677	3	98332	1761	1810946357	4	98331	1298	1810946820	3.48759028446957	60.4155108479899	60.4155108479899	7.66053886991358e-15	1.93378208183279e-13
chr16	68084343	68218090	+	NFATC3	16	69349	6	133741	3255	1810909451	0	133747	442	1810912264	3	133744	1761	1810910945	4	133743	1298	1810911408	3.26018377026301	59.7392132277601	59.7392132277601	1.08801856413265e-14	2.69337240682387e-13
chr17	4004444	4144030	-	ZZEF1	17	70703	7	139579	3254	1810903613	0	139586	442	1810906425	3	139583	1761	1810905106	3	139583	1299	1810905568	3.2174483363329	58.6717590030457	58.6717590030457	1.86517468137026e-14	4.39059831436669e-13
chr6	34286968	34427046	-	RPS10-NUDT3	6	29943	8	140070	3253	1810903122	1	140077	441	1810905934	2	140076	1762	1810904613	2	140076	1300	1810905075	3.21392945112169	58.583948475396	58.583948475396	1.94289029309402e-14	4.51810306339501e-13
chr16	14974079	15029805	+	PDXDC1	16	67495	2	55724	3259	1810987468	3	55723	439	1810990288	3	55723	1761	1810988966	2	55724	1300	1810989427	3.87294738733087	57.8601721520536	57.8601721520536	2.80886425230165e-14	6.2660535674892e-13
chr19	49289764	49326185	-	SLC6A16	19	81458	7	36414	3254	1811006778	0	36421	442	1811009590	1	36420	1763	1811008269	1	36420	1301	1811008731	4.19277195456369	57.7294836351648	57.7294836351648	3.00870439673417e-14	6.5593174831074e-13
